ID,log2FC
IQCD,-1.361690187
AP2S1,-1.192376348
ZNF25,2.201815384
ADNP,0.851154567
IGFBP4,-1.87286634
NDUFA1,-1.030503581
UBXN1,-0.880368817
ID1,-1.996630327
PTTG1,-1.035206422
EIF3B,-1.270638546
PITHD1,1.344932285
PITX1,-3.606689672
PRTN3,-2.171291298
WDR18,-1.282935093
UQCRB,-0.964364416
NUDT8,-1.190148027
IQSEC3,-1.524566066
RALY,-0.987873002
USP9X,1.067434956
HSPB1,-1.387275264
VAV1,-1.287652846
LSM14A,1.268082299
KIF20B,2.327853891
EIF1,-1.145379913
CHCHD6,-0.972740184
GSTO1,-1.204446796
RGL4,-2.434176085
DOCK8,1.674797975
SEPTIN10,2.052101392
LYRM7,1.518694807
RTL6,1.626035404
TAF2,1.689841759
RPS20,-1.566817589
PPP1R14BP3,-1.171828677
TSKS,-1.835832427
HECTD1,1.60055408
POLR3B,1.932924881
ARRB1,-0.845817098
AKAP10,1.847582613
LAGE3,-1.236447659
CAPZA1,2.557304384
BBC3,-0.995830852
SUCLG2,1.557097504
YTHDF3-DT,-1.909610675
LAMTOR1,-1.583727632
MOAP1,1.547866289
POLR2I,-3.250961005
SMC5,1.440909254
CD300LF,-2.290080315
AKR1C1,-1.166031936
SPNS3,-3.387193917
PNISR,1.401577826
MYL4,-1.438396913
GADD45B,-1.569807855
SMIM10,-1.021886703
TXNRD2,-1.33151189
JAK1,1.511683116
CCNI,1.067834958
SOS2,1.704247032
RIBC2,-1.082705319
SLTM,1.330913012
HMG20A,1.598538101
RPS5,-1.667426793
FCHO2,2.011497903
RAB31,1.449279944
CENPE,2.029784279
CLPP,-0.848599241
RFXANK,-1.177596072
ADD3,1.861523907
RCHY1,1.761710735
AUP1,-1.182139082
DYNC1I2,1.543855474
GTF2H2C,2.074134872
DDX3X,1.337887973
MIA3,1.702301823
CAVIN2,1.286636209
SUPV3L1,-1.25707106
TUT4,1.530087389
UQCRQ,-1.040350371
DIS3,1.728570194
UBALD2,-1.41516104
ACO1,1.371966984
RANBP1P1,-2.010985937
ARFGEF2,1.375365154
TRAK2,0.902349478
RSRC1,1.238502863
MAK16,1.153441807
POLK,1.858571031
ADSS2,1.6788322
C10orf95-AS1,-1.141291855
CCDC115,1.14709725
SAC3D1,-2.12281454
AGAP3,-1.369968545
ARPC3,-1.211476422
NT5C2,1.427361026
ZBTB4,-1.021080508
ASB6,-0.900864887
LIG4,2.619910592
G3BP1,1.401178715
RPS28P7,-2.206144527
RNF19A,1.80306206
PRPF4B,1.533649258
SOCS2,1.330469409
C1orf35,-0.876111676
C17orf80,1.60902891
PMVK,-1.046300256
NDUFB9,-1.357692728
ATP11B,1.661736192
GTF3C3,1.417619677
RPL36AL,-1.329999996
COMMD6,-1.400003872
PTPRC,2.34719505
S100A4,-1.793546893
RPS12,-1.674160097
ZNF273,1.498253364
H2AC11,-2.905310656
GASK1B,2.462043563
UFM1,1.918437098
RAD21,2.247315563
RN7SL1,-2.613448485
PSTPIP2,1.545429443
MRPL11,-1.219292013
PABPC1,1.801617969
CRYZ,2.051834025
TTK,2.008783027
TTC19,1.063629336
PRPF4,1.615996894
AHSP,-1.314058803
ATP5MF,-1.089589343
ATP5F1E,-1.46028087
FAR1,1.304016861
PSMD13,-1.156373416
RPL13P12,-2.297779257
PPP6R3,1.07056813
RNASEH2C,-1.361502567
GRAMD2B,2.77314733
VWA5A,1.473173245
CYP2F2P,-2.369881578
H1-2,-1.452428489
ERLIN1,1.561104595
RPS16,-0.993729913
RPS28,-2.138376725
MRPL23,-2.420338707
NEDD1,1.595960446
ZNF776,1.727684755
PPP6R1,-1.468119425
LIF,1.974085892
CLASP2,1.724687913
CLIP1,1.388843555
XK,1.168323337
SWI5,-0.996401498
STK32C,-1.33929386
TMED2,2.078189222
LTN1,2.247610375
SEM1,-0.947151847
TPRA1,-1.260572834
CTDSPL2,1.432365279
COPS3,-1.168330222
VAV3,2.406173156
LUC7L,-0.866885979
PRPS2,1.868506286
C20orf27,-1.06314615
CRYZL2P,-2.066492699
ZNF217,1.732603112
RFC1,1.71104628
EFR3A,2.487122369
PLOD2,3.32216441
HBS1L,1.452397961
EXOC5,1.299030286
AP2B1,0.734418571
TCF3,-0.63054901
SUPT16H,1.311021699
DYNC1I2P1,2.538711895
PCNP,1.086048141
EIF3K,-1.541074468
MECOM,3.031115055
USP10,1.275296003
TMC8,-1.900045105
RPL32,-1.424464514
SLC25A13,1.420060479
EVPL,-2.876499669
H4C5,-3.682951715
COX6B2,-4.323893823
ARHGAP9,-0.982878114
TMCC1,1.537470524
CNPPD1,-0.827182982
IPO5,1.035705153
RIC1,1.886413207
RPL6P27,-1.301407628
PAXX,-1.41011544
SMIM1,-1.369752729
RPL23,-0.965957277
STRN3,1.690785333
PPP4R1,1.222145253
STK35,-1.160614322
POLR2L,-1.334193819
GTF3A,-0.963300354
FAU,-1.561389093
FAF2,1.248943238
VEZF1,1.458188629
ZNF8-DT,-1.398113639
HEIH,-1.689993439
PPIH,-1.226720078
NXT2,3.046822987
NDUFB1,-1.174998049
NAA15,1.627933127
ATP6V0D1,-0.975433915
CDC73,1.34132687
FNBP4,1.009928923
H1-10,-1.882684811
FAM171A1,1.392386495
ATP5PO,-1.837268573
VPS13A,1.51551825
DICER1-AS1,-1.73929059
GUK1,-0.874260531
GOLGB1,1.089502971
SQLE,1.604757724
RTN4RL2,-4.096648289
FKBP11,-1.673739607
VCL,1.481320576
CHD1,1.906902479
SEC11C,-1.124514356
PDIA4,0.708505014
CDC37L1,1.605960734
IRF1,-1.413493651
SCYL1,-1.012702636
LSM5,-0.904500712
ATP2C1,1.505467105
MAX,0.993930501
PLEKHA5,1.842948424
ESF1,1.617663298
PRMT3,1.871592726
LINC01934,2.072689796
WBP11,1.703038117
FIS1,-0.987459041
SART1,-1.500058363
ATAD2,1.203768445
SURF2,-1.988781576
EHBP1,1.559553655
NAPRT,-1.609806651
GOLGA1,1.205885416
POMC,-2.295443935
PMM1,-0.712137252
RPL19,-1.071502361
LMAN2,-0.759940697
CD2AP-DT,-2.597246342
BAG5,1.440991107
RDX,0.98167183
RPP25,-1.634603601
WASH9P,-1.607549825
IPO8,1.230861847
RUVBL2,-0.799769742
TTC13,1.884729511
PPP4R3A,0.851503853
HES6,-0.902017837
LRBA,1.223632327
CDK1,1.360025358
GOLM2,1.721890783
RPL10,-0.873995127
RPS26,-1.141408646
SPAG9,1.314903028
NDUFB10,-0.993638082
EIF4E,1.9561419
NAA16,1.307478609
SUV39H1,-1.151648588
NDRG1,1.491050577
AQP1,-1.278575036
TAF5,1.242262351
PDK4,2.092703465
TIMM10,-1.099258183
R3HDM1,1.414164694
AKAP8L,-1.119299156
KLF3,1.08399449
TEC,1.443131618
CDYL,0.684755204
RPL34P18,-1.497339717
NIT2,-1.37989218
CPED1,2.585970363
COX6B1,-1.446216338
MOB1A,1.161623911
TMF1,1.359038041
MAP3K7,1.487963508
RPS15A,-1.622410972
MORC3,1.662653034
SINHCAF,1.642859836
LEPR,1.147979564
OTUD6B-AS1,1.578951495
STAG2,1.721881492
BNIP2,1.832613097
HMGCR,1.537627544
ZZZ3,1.771349394
PDLIM5,0.978254922
SEC61G,-0.947026806
REST,1.32991233
ADPGK,1.124329851
SLC16A1,1.268682814
REV1,1.031564826
MFSD14B,1.261773944
CLTB,-1.144039711
KAT7,1.348272044
BTRC,1.587117415
SATB1,1.096748178
NOP9,-1.426055534
MRPL4,-1.103917957
RPS27,-1.136281579
NLRC5,-2.460505107
RNASE2,-2.238805732
HNRNPH2,1.919293263
ZNF28,2.267155749
WASHC2C,1.058682777
LRP1,-1.641375695
IL1RL1,1.598610672
SERINC3,0.933731006
PKP1,-6.710497444
TSEN15,-1.028295415
ENO2,1.064473377
STEAP3-AS1,-2.302488603
PDHX,1.121092191
PUM2,1.268468607
GUSB,-0.834200288
MT-ATP8,2.329112055
METAP1,1.450198949
CSPP1,1.196576835
LINC01128,-0.93149396
COPS9,-1.681635335
HBQ1,-2.023751182
WAC,1.003182668
YWHAZ,1.838776066
RECQL,1.921827132
KARS1,-0.850428529
DENND5A,1.424218239
HOOK3,0.99596571
VPS16,-0.684518152
USO1,1.945583863
TGS1,1.626379919
EGLN1,1.995673585
LMF2,-1.270471549
SPATA24,-0.971569326
TNFRSF19,1.821306502
SCX,-2.752565567
C9orf72,2.012024785
NAA25,1.351128745
DHX35,1.572362639
XPC,1.090498971
NRBP1,1.118063279
SNRPA1,-0.844768206
OSBPL8,1.642147262
HSP90AA1,1.277141585
DECR2,-1.215364525
SHCBP1,0.837330189
QPRT,0.781913044
PEX1,1.326108944
TXNL4A,-1.068681159
ZSWIM5,-3.027383213
UNC119B,1.064858371
SDF2L1,-1.344295922
TRAPPC2L,-1.158823334
CMKLR1,-1.619456971
BPNT2,1.035578591
NEXN,1.203148976
ANKMY2,2.041553278
TRIM5,1.210001253
GADD45G,-2.328246211
ARHGEF12,1.150425823
AP1AR,1.723074836
FIGNL1,1.64698428
SRBD1,1.56451163
UEVLD,1.823679645
TAOK3,1.796474416
DGCR2,-0.990786417
GNPDA1,1.417355329
ZNF131,1.888398485
NEMF,1.466774492
SLC9A6,1.477280421
ELMO3,-1.633187297
TRPM7,1.836736456
SEC23IP,1.198950653
PPIP5K2,1.099854848
DENND4C,1.52549709
PELI3,-1.31812954
CCDC121,2.270239499
TGIF1,1.519848898
FAM166A,-4.048601295
APPL2,1.374051417
CHMP2A,-1.075502166
CEACAM6,-2.714869088
EIF4H,1.404011825
COX4I1,-0.929392746
WDR83,-1.635517107
ATP5MK,-0.993924139
GCSAML,2.152777572
HBP1,1.641138622
DYRK1A,0.862133918
SCOC-AS1,-1.53430943
CEP131,-1.58060298
PRKCQ,1.378331093
STAM2,1.432326075
VEGFA,1.050345708
ALYREF,-0.822854985
MYH11,-2.562394741
WASH8P,-1.594011654
MORF4L2,2.095367368
RANBP9,1.78150696
HDAC3,-0.889648634
LGR4,1.520004193
PRKAR2B,1.297891351
MAT2A,1.482462494
SLC1A5,-0.722332292
ANXA4,1.740299797
SCART1,-2.551467161
TOP2A,2.111059374
CDC42SE1,1.024692148
KCNAB2,-1.659784752
DCAF17,1.458538385
AKAP9,1.572128347
G3BP2,1.781370454
EXOSC5,-1.138148024
RNF20,1.133695115
EVI5,1.847400613
RAB3IL1,-1.061550214
PDCD6IPP2,-0.781630329
CRLF3,1.108904649
SUCLG1,-0.786454827
NPIPP1,-1.694907373
RNF43,-0.989775483
C9orf64,1.478551836
ARID2,1.5046061
BLOC1S6,1.481182709
ACADM,2.231753081
FGD5-AS1,1.861196059
SNRPFP1,-1.353896625
LILRA2,-2.847626787
SMARCA2,1.34717484
ABI1,1.597104581
NTMT1,-1.04959593
STK26,1.916393616
AURKAIP1,-1.618439805
GPBP1L1,0.781869837
DUSP23,-1.33302707
RPL34,-1.640238472
NIPBL-DT,-1.198735506
ANKRD27,0.755608955
CDKN1B,1.209736334
PSIP1,1.189211865
CD163,2.655472229
IER5,-0.644208335
SBNO1,1.397322089
CKAP5,1.492554023
VPS54,0.989186904
SNHG19,-1.886744457
APPL1,1.665966382
C1orf122,-1.57553305
DMAP1,-1.022297163
RPS27A,-1.091466096
MAN2A1,1.719996355
LHPP,-0.777810552
PDE3B,1.774815357
NCOA4,1.81395085
CFH,1.792938781
SPDYE3,-2.682344422
CKAP2,1.053377498
NDUFB2,-1.183431728
RPS3,-1.073739502
PUSL1,-1.841381561
ARRDC2,-0.819831406
C1orf109,1.498329697
ECSIT,-1.321865244
ZNF200,1.504806231
RPL15P3,-1.254598558
TMEM184C,1.906121546
SLC25A39,-0.967729877
UQCC2,-1.002898458
JRKL,1.658872171
SUSD1,1.216208477
KCNE3,1.303576862
BCL2L13,1.034140796
MTCH2,-1.178973473
ACVR1,2.604033572
ASPSCR1,-1.487394958
ATL2,1.670870712
MRPL47,-0.88575028
GMCL1,1.076347611
CCAR1,1.307234979
BSPRY,0.991771183
TMEM86B,-3.088183672
ST6GAL1,1.027996934
RHOBTB3,1.588828441
RAI14,3.560663545
DDX6,1.144747347
OSBPL3,1.001854813
SLC9A3R2,-1.726911565
CERS2,1.094834665
IDH1,2.173494154
UTP25,1.348701972
EDEM3,1.723171646
RAB23,1.902180641
STPG1,-1.632497023
SEC61A1,-0.855520941
TRMT13,1.531371097
PPIL1,-1.077024524
NUP210,-1.031825014
TPT1,-1.209976498
NEK7,1.871196439
FOXJ3,1.225793641
RPL35,-1.362500159
CCNJ,1.644770172
MIR23AHG,-2.403824744
TIGD1,-0.974912055
TOPORS,2.116607221
ACSL6,-1.939811606
DUS1L,-0.869376768
GLE1,0.891011684
NNT,0.895786016
TYROBP,-1.969780342
ATIC,-0.871705477
SNU13,-0.617216038
PTGES3,-1.216306827
SPPL3,-0.915782693
PM20D2,1.390651337
NDUFS6,-1.080927455
ATAD5,1.039075182
CARHSP1,-0.956638889
ADGRL1-AS1,-2.013392717
FAM199X,1.35637728
PSAP,0.829615253
CPT2,1.631797701
EIF4EP2,2.445201597
TCERG1,2.099239941
HLA-A,-0.92794501
UBR5,1.302096188
CDKN2A,-1.940913459
TSNAX,1.4808149
PRKCQ-AS1,-1.179472371
TRMT11,1.320276089
ZNF143,1.716460136
STON2,0.938352167
STRADB,1.483131771
HP1BP3,0.793306559
RNF4,1.06041114
ZNF155,1.77842022
SACM1L,1.923566764
ZBTB8OS,-0.842906839
EBLN3P,1.477401197
NAA38,-1.419580801
CYB5R3,0.81928459
RHOBTB1,1.455555345
TIMM13,-1.486069969
RPLP1,-1.735681849
NUP153-AS1,-1.898655784
RFX7,2.006893067
GOLGA4,1.949528425
HIRA,-0.927455829
SLC35D1,1.955227777
EEF1D,-1.473065358
COA6,-0.935784187
PSMD4,-1.02228368
ZRANB2,1.417920266
STARD4,1.470481883
SYCE1L,-2.792469651
PSMG1,-0.894542297
IL3RA,-1.605022593
SMCHD1,1.245019155
ADPRM,-1.093333264
S100A6,-1.615546031
GXYLT1,1.041359431
PCCA,1.047898701
RPS6KB1,0.978608388
TAF11,0.940796583
ARCN1,1.720038495
LARP1B,1.419128051
PC,-0.961960793
HMGN1P38,1.678524666
CENPT,-0.781912272
ALKBH3,-0.895584474
PADI2,-2.524808929
MAF1,-0.745035781
EMC9,-1.127459209
STK24,1.528752537
NUDT1,-1.006540607
CMTR2,1.252092643
NOPCHAP1,-0.785209844
NR1H2,-1.079225199
MYL6,-1.143860956
CHCHD10,-1.781149903
ITGB1P1,2.403361809
WDR3,1.361489828
SPDYE21,-2.445543885
SDCBP,2.121353095
LAT2,-1.264735827
ECI1,-1.171366533
VPS8,1.136828513
NOC2LP2,-2.515866781
DIMT1,1.535134064
RPS8,-0.890972453
BAZ1A,1.337245298
ERCC5,2.116157197
RPL5P1,-0.998599622
CUEDC2,-0.790357462
MRPL20,-1.382647874
SMIM5,-1.32526907
JAK2,1.752726767
NMT2,1.180953527
PSMB6,-1.151556418
RPS4Y1,-1.541067266
CYB5R4,1.295121391
DENND2D,-0.927813925
ADIPOR2,1.444369454
PSMB8,-1.198688986
TCEA1,2.325618516
KDM3A,1.378012301
ARRDC4,1.745803689
PVR,-1.182186945
ISOC2,-1.086339062
RPL10A,-0.934221687
NDUFV3,-0.543882207
MRPL54,-1.909685271
RMC1,1.315946709
CYC1,-0.764610786
PPIA,-0.678977621
UGP2,0.830472967
ZFYVE16,2.948049663
HSH2D,-1.49495404
ISG15,-1.73145166
GOT2,0.88781648
PINX1,-1.165789314
ANKRD28,1.216823711
CCDC167,-0.906138153
AK4,1.974363612
XAB2,-1.751209694
TK1,-0.597795924
FAHD2A,-1.013288214
RPL18A,-0.903379444
TP53BP1,1.189165458
LMLN,1.690064083
SVBP,-1.042302404
TUBA4A,-1.704140886
ATAD2B,1.089820881
MAP4K3,2.251471519
RAPGEF2,1.441382225
CDC42BPA,0.898818402
IMP3,-1.0907922
WDR43,0.645264422
USP28,1.512034844
ALDH18A1,1.064134095
WIPI2,-0.745381441
LDLRAD4,-0.948517203
RRP7A,-1.237624716
UQCRFS1,-0.830081517
NDUFB7,-1.855181763
GTF3C4,1.013234258
OR6L2P,-3.704543159
PLAGL1,2.445664318
KIDINS220,1.51182587
ANKRD13C,0.973132015
TNK2,-2.306364582
ZFHX3,-1.794390059
ZNF225,1.169953586
