L1	L2	L3	L4	R1_1	R1_2	R1_3	R1_4
id	L1	L2	L3	L4	R1_1	R1_2	R1_3	R1_4
FAM120A	8.59408573715971	8.14501859846342	8.27443046922305	8.39998402256953	9.60692028983062	9.37554592037992	9.72265985302052	9.62241400207348
COIL	6.84657361285244	6.70937717195009	6.71568353196741	6.70506248773386	7.79731176284919	7.85561120789998	8.23548577490532	7.94880331985323
SELENBP1	9.11883049968054	9.25848216885255	9.31394224759287	9.26469817872608	8.32321158652184	8.49807010305395	8.25936060050907	8.33232343546468
HAGH	11.7815393243005	11.7488864893977	11.8852316243911	11.8704911543737	11.0084488474833	11.1437783888373	10.9083935593828	11.0399506370164
S100A8	5.80416486562092	5.80325293175782	6.03363978795348	5.59930743985045	4.29763329015586	4.23808275875343	4.32371760797224	4.44820798304742
KLC3	5.29140365174136	5.8829213231535	5.3427122038687	5.17716007161069	3.33278088035786	3.50280180795777	3.3238014847045	3.48721159807891
SLIRP	12.2244203861997	12.3508394918719	12.4621123899642	12.4281891378035	11.5978488199825	11.6607718220364	11.5238516991729	11.6087269790097
ARHGEF6	7.2985803537778	7.21009722670491	7.10404608672046	7.40593026405528	8.5420222320835	8.2373490614295	8.72480952252053	8.45523171437105
SLC9A3R2	7.58839509254187	7.70090269128115	7.79831546533382	7.70742845984821	6.58896715792244	6.79151694308392	6.54512364814433	6.75083383492016
H2AC14	6.87496644194092	7.12090353040461	6.78518791254756	7.01795186913531	5.13159636576575	5.46029602847821	4.64801774544723	5.13372769717836
BMP2K	8.88179402880531	8.66945397165144	8.74967371893655	8.75072217813864	9.81084781689819	9.6939001263632	10.17669083393	9.83447115856886
CD46	7.90658954601224	7.57310113626083	7.67374792989338	7.7911551933479	8.81054449394173	8.66579888741647	8.98398590858289	8.79409924054723
LACC1	5.87057471612075	5.81461672492193	5.7757553653585	5.86450183954046	7.00585251828534	6.87514889931104	7.04813659994476	6.92634422699605
H2AJ	12.3885038017908	12.7911541753798	12.8686633497696	12.6770757103843	11.275186883727	11.647100590314	11.3449416785863	11.5330282862895
CLK1	9.2757203490674	8.80808749283749	9.07548218138604	9.18693948398724	10.2621498352045	10.1008394473453	10.3760587447339	10.3065104708503
RGL4	6.71328390108955	6.2299651593838	6.44366319304659	6.35405686720059	5.15191870278748	5.10200184353018	5.11050403351459	5.18379046135299
EBNA1BP2	13.197042378547	13.3323336838864	13.4726181646767	13.3550732423783	12.4112193377537	12.5764250130288	12.2977992968882	12.4530834635791
SRSF11	11.7229979271475	11.7208788869139	11.7953994637349	11.7983139452249	12.6497783444151	12.371406924192	12.6350432302391	12.5478464117685
CORO1A	7.65095315701768	8.01269451395779	7.96142609879727	7.69251387590339	6.6095676475862	6.80961601892612	6.57963775529295	6.76129632987931
SCD	10.5882743101118	10.1398170602734	10.3584735978072	10.4362588392614	11.476861508104	11.3420975882424	11.5802251392826	11.4644919924301
HBA1	9.86555791482545	10.9834455736708	10.5518728291786	10.5757914041402	8.95639406148271	8.99687110965723	8.76146613586458	8.84671860892346
MRPL23	8.54872506273437	8.9877617721726	9.18339239849623	9.02138154346417	7.40684673954377	7.71819742495838	7.17665235635975	7.53205438776924
HRAS	9.94189716562914	10.380147681993	10.5067979459206	10.2354482766203	9.04962017325115	9.20263484538655	8.8224173671287	9.00970377773447
ANAPC15	11.3520712547564	10.9466552917726	11.079004393637	11.0058986033192	9.68871889930606	10.1017488100614	9.75462604509689	9.96834379438909
DHTKD1	8.59229248469694	8.27804756001429	8.36307433618625	8.49936024147705	9.31173231864806	9.29231765289904	9.39034855331502	9.30938823806202
BNIP3	8.42842432061133	7.70101256783874	7.64923180558579	8.03202684593707	9.53867475482578	9.67806031546937	9.64150731401578	9.76459088260988
PCNP	9.26792857332813	9.14334014622247	9.15972886511696	9.14742273875305	9.84126458806279	9.79730879589155	9.87994246964033	9.88513978673245
ANLN	7.97788303420026	7.52831216440239	7.51018668725688	8.01356110984658	9.39550671942119	9.01412000441819	9.71975102941709	9.39020816291661
PRAM1	7.21859254987639	7.85605107281432	7.88608081098524	7.83218546946482	6.00510505773261	6.45538342929678	6.05029309270751	5.91916480131654
SNX22	8.86770893750851	9.29931737219365	9.29633089719779	9.26632895752157	8.24655003599334	8.17664685211599	8.13645790655785	8.14376137398951
CALU	9.16726541726766	8.74099442071019	8.78415913484344	8.96934790472385	10.153695624854	9.8900966126392	10.3024463317595	10.108204306314
TMCC2	8.6408750028639	9.06920392055519	8.92435831076783	8.93617948829039	7.98580835280081	7.8655351736032	7.97613517011313	7.90978416629664
RABEP1	9.73588644880072	9.45951496002412	9.54042003973411	9.64197900400577	10.5178981418884	10.4122503044165	10.768175022174	10.5742255563301
DEFA4	7.12663530176563	6.63674762239684	7.20728029048165	6.89048298107928	5.70683057380303	5.72294405913762	5.77688101556346	5.58737281160749
IFT27	7.52206333497764	7.56478158390073	7.70664147581039	7.67996316852608	6.57972022757493	6.80691382438943	6.56416685759316	6.53227786598287
LPO	6.43659365949418	7.11846525367433	7.00154996062978	6.81420442560233	5.46119087121029	5.56645069971069	5.56106562784266	5.51292244451771
MSL1	9.41961685230919	9.24994203587626	9.23034748603928	9.30098826796534	10.1705396547961	9.9585294339099	10.1912960224088	10.1617483215999
ARL13B	6.00721917761986	5.8486202909245	5.67312081445886	5.9229454527215	7.24855811016406	6.94706353435553	7.43914718001165	7.10490019940442
PAFAH1B3	8.72526802047553	8.83041142564758	8.93328634425475	8.80950677268749	7.92420595240161	7.86298102904099	7.76452112505858	8.06482642303174
DHX15	9.25951008957742	8.88750975390051	8.97403741163726	8.99855642388503	10.1688479012552	9.88769405757234	10.309087022792	10.1663901942141
PRMT3	7.47823063929687	6.9519914946085	7.18415481229992	7.2622609214018	8.35382988341193	8.23991395377686	8.4324665452327	8.38244930615432
LAMC1	8.56429935516484	8.37728842446442	8.64945945470831	8.50754120438898	9.3812649593075	9.25490169797409	9.43083219835329	9.41601132450668
TUBB1	6.823183597971	6.34891558256157	6.2645493156147	6.45877238104461	7.78233802960604	7.683269511241	8.14707610016248	7.91587553202327
PSMG3	9.37377981403489	9.58527746357761	9.75055132361687	9.61545995358257	8.59208772287621	8.60922646583844	8.30677026261857	8.63867185799624
PAM	7.82666479744908	7.1375031709446	7.38856237183864	7.56677292833379	8.82260948574124	8.7410639476523	8.87114060036966	8.87931985908261
PAF1	13.4059743803714	13.4890277056122	13.5231241010773	13.435251928328	12.6520216825289	12.8188162560051	12.5124884516218	12.6797335250238
PQBP1	12.1275319442006	12.3760234543347	12.4548209216388	12.3997426800246	11.3952303713835	11.5576372848897	11.28804466972	11.4770514063546
LAMTOR1	10.4018540131141	10.6713006228191	10.7636155722192	10.6716650526147	9.5691739770026	9.78950599084368	9.46500264937148	9.69848602383746
PSME2	10.6464398569351	10.5492515659083	10.6649287165676	10.6410510024264	9.78194080749032	9.98470371670282	9.73856190038375	9.90946053589224
ROCK1	9.28007913116115	8.92692706806411	8.95527018548075	9.39990493124479	10.5417796427668	10.2257316479456	10.8198011542885	10.4933931193775
HDGFL2	13.3643941514274	13.7081620674791	13.7128386464006	13.633136233487	12.7035365487341	12.792530787738	12.5190352406421	12.6709452608685
E2F1	9.67000154546462	9.87911203052975	9.94237319101937	9.87166053435493	9.01122759010784	9.09820866109255	8.83563889474777	8.97964532041787
GMFB	6.16346634477586	5.4178610544605	5.7629644208475	5.79584049256949	7.48893629274951	7.12145788536093	7.77013171999081	7.39963066273707
GOLIM4	11.3970888295148	11.4199633381401	11.2755843927405	11.3223865974882	12.2441567956079	11.9942809928987	12.3879730136034	12.2145151879008
GCC2	8.22249082708174	8.02399187385826	7.91067770366597	8.21619668653145	9.18240917847367	9.01657138120361	9.42120236431694	9.09828400181738
SQOR	7.53143175476948	7.70128349395597	7.89800804650143	7.9137151752539	6.37757242570107	6.75337045282338	6.19261931349733	6.30032635622484
RPS19BP1	11.1582613608911	11.4624326643594	11.6149401134807	11.4116514478859	10.4157082828847	10.5313873813189	10.2261101879263	10.4290798563793
RANBP1	13.819217079442	13.9031932203036	14.0284121905648	13.9591590939821	13.1442188911505	13.2962071725342	13.0822567524802	13.2214720642455
SURF2	10.2669219492641	10.7856328963069	10.904874999498	10.71302174531	9.47345528833211	9.57506461649601	9.20480022926267	9.48538109863863
GMFG	8.93510032371289	8.77371140378077	8.94117683734962	8.87422595405778	8.10076276778009	7.77734307596908	7.97350866642055	8.04837482311609
NDUFAF8	11.8057194495972	11.913399608806	12.0827499218637	11.8708263078834	10.7798427629866	11.1207373397539	10.781102305224	11.0072365907166
JAZF1	8.73530582541819	8.77380985185852	9.00386160218122	8.95517224418129	7.98369834671878	8.11541808292801	7.88873784360373	7.90230283032832
TIMM13	9.97908299684124	10.2231743698669	10.4217564953551	10.2589069730901	9.29027320614696	9.40457227893839	9.20055856993507	9.28492032984848
TTK	6.35018444368987	5.96432874651714	6.15560972108552	6.21452325358347	7.27658444116544	7.15674714806178	7.50047580481945	7.32428401128318
AGAP3	9.19693512309561	9.45420324096916	9.5386583028601	9.42838622254532	8.51946780348386	8.66387831465406	8.48978202042371	8.54627554199235
IFTAP	11.0233198799985	10.7990879406972	11.0724835277212	11.042750235986	10.141010272719	10.2869309812864	10.1324321582912	10.2501444588518
RMI1	4.7274407514114	4.19387354469401	4.29086753332851	4.63770962816113	6.23380554246301	5.86956375582167	6.30674685634937	6.07034269112894
PITPNA	9.70133091687896	9.80884935594339	9.7548080414735	9.81949449446856	9.18201798795523	9.09511358910896	9.09917952399245	9.18233047790889
ASPH	6.53953227066727	6.28541475252875	6.35154141186156	6.15286006374114	7.44621763199956	7.3074600903927	7.73133051093241	7.55125082006029
USE1	9.91738779108498	9.91334674277261	10.0293004829477	9.95653539187925	9.03831128004536	9.27006237081807	8.98680673870236	9.20916185145464
AIF1	9.46015199505641	9.51174766593553	9.72720266976462	9.51479122837757	8.55664818002005	8.82332736027221	8.49774940233285	8.57686901245022
SSBP1	11.5954683104097	11.5332442409918	11.7019005938382	11.6276579389437	10.9845908558079	11.0023789598068	10.8897450272203	11.0334875098778
CFD	6.2412322858927	6.4726709964285	6.52858572012938	6.16410488002297	5.08890004168818	4.94612835467153	5.10275510732831	5.2779694177978
TRIR	13.3078941897483	13.4707105241665	13.4311930535618	13.3787055115354	12.7338920634263	12.831696915223	12.6583281946474	12.7680651620903
SMARCAD1	7.11554736263632	6.61672135339675	6.46702388686429	6.69108685383164	8.14945124815537	7.92980688410312	8.43125934980455	8.11962128853183
CYBA	7.67911597758019	8.0312210092701	8.08305076210378	7.99831069715664	6.99253825059097	7.05357254752732	6.84370848935391	6.98068715727503
BAZ2B	8.0261160133031	7.63039765784611	7.63988918089369	8.00341043120459	8.95804394239629	8.89908541613364	9.22849042195337	8.94058834373964
TESC	9.87958624633153	10.0746994879559	10.141147831851	10.1508272363951	9.26543193879004	9.27404185045029	9.00922156773688	9.19329225768863
STAM	7.34604346985708	6.64720898816578	6.8684984119595	7.16981710432183	8.44965154352217	8.25806393843358	8.69457348972665	8.53680926493016
RPS20	12.7970731368212	13.0735937502377	13.2731593482323	13.1358093129414	12.0895540895012	12.2202679594848	11.9313054427865	12.0947799394623
RPS28	8.7425108734652	9.2637765770456	9.52653245414198	9.28480386337028	7.91531978451559	8.09263372273921	7.73021349815535	7.90220694814176
SMC6	9.52035986424067	8.92892804592372	9.03407308146024	9.30575583448472	10.5554299630786	10.3042240306083	10.7657884774373	10.5173562343722
RPL13P12	6.17985487897166	6.34333905488685	6.41836909962246	6.14483326002766	5.05453707365921	5.29251803321245	4.91142261668669	4.92424573801291
TLK1	8.47178470351014	8.42692316067005	8.41435216309517	8.46696730643006	9.26220972886155	9.11268460122849	9.46514878375695	9.24203702059753
TOMM7	10.4467417461722	10.5748498236204	10.7654405269675	10.645887902832	9.83658917768905	9.86826510248973	9.69886941283257	9.86114193445577
BAD	8.69179029143046	8.91128497818154	8.77116505594028	8.71494135845155	7.87466950360315	8.09154482989579	7.84708042904088	7.930943623779
JAK2	7.92322858702386	7.76636533292389	7.53498960241981	7.83919027272533	8.83473753553839	8.61115748057294	9.02009942240241	8.85286750663392
ACLY	9.34689500088961	9.33575353599643	9.17206456352934	9.18515967058457	10.1605750065408	9.90634262011337	10.2589112086377	10.1631531608642
MYL4	12.3565052886588	12.6857594133274	12.7437365116518	12.6112832595473	11.6487393593	11.8143214620328	11.5554255789514	11.7477838398021
EVA1C	5.5003127708733	5.7218797419169	5.91273494651016	5.70523989853303	4.49361507343836	4.58621073026734	4.45218570498112	4.47789283449992
HMGB3	12.1106793557798	12.1961136902892	12.3213077196128	12.2642856714617	11.5841196625104	11.6243702692518	11.4774326089246	11.5731144305165
LIG4	6.48631991973514	5.8414458519811	5.80469332750127	5.7565205902919	7.54517743692748	7.45092116997322	7.59134442927745	7.3900902104463
METTL26	6.44178675769742	6.90146989270528	6.78124087452555	6.78321488066852	5.69384812036261	5.72348746925303	5.63314669549056	5.63919524046691
KIT	8.99746527479189	8.0505833086501	8.17597332807918	8.46600161945465	10.2940983325176	9.9870072442854	10.6292655205248	10.3427825263501
CTSG	8.81689120797724	8.1173727450809	8.42080705905533	8.16625891327491	7.01901691925808	7.29328800224109	7.10386397343007	7.02450187983408
FBXO11	8.31036596815614	7.79139361314029	7.90645091639488	8.15176473668143	9.29374551156581	9.0192080381015	9.5493607260985	9.40086422990759
PSMC5	11.9663124324205	11.864938681609	12.0152209393249	11.8932358197658	11.2698835659545	11.3241481153694	11.2002180226241	11.3772166626104
CARD16	6.51323555181956	6.20672728356897	6.53115576197764	6.56940632785413	5.31870113042515	5.45702851910429	5.29899000051367	5.44061393210898
TMEM256	5.77825944763251	6.05544936135034	5.80683891904581	5.92171587127543	4.66029789780425	4.78901994353644	4.76201226904197	4.81277668125675
XPO1	9.21621922374435	8.91416193057984	8.94192335890288	9.04330950519815	9.99780100150527	9.77483447724068	10.1607945608011	9.96443777982022
DOK1	7.99807812067049	8.10634906381208	8.31778026867578	8.04326568405343	7.26828084522611	7.30299496290278	7.0817523189383	7.11483705087988
SLC25A38	11.5787533517434	11.8197459429151	11.9940060874082	11.8825402592817	10.884463771347	11.0384259090306	10.7748371653993	10.9570199112566
VPS41	8.92730003472897	8.45133774442165	8.42902453258919	8.63971665067421	9.79926461096501	9.59126786664973	9.99850306133707	9.78686508061236
CEP131	11.3879318594433	11.8964263975042	11.7671877558956	11.6012122198365	10.6626688306593	10.8232470591592	10.5606509837515	10.6552014611622
RPS12	13.5951826313698	13.9305786187201	14.1179020147291	13.9809209511485	12.804670669234	13.0240167635496	12.6709202958202	12.9077203894791
LINC01215	5.55503971271678	5.29418186915869	5.02233704901494	5.04083613765553	6.58740973264849	6.36491970725833	6.54132803404747	6.65594937277941
COPS9	7.26255967108448	7.42722561156857	7.66884996132952	7.427072719725	6.49158271910015	6.56323458776308	6.3315419842316	6.46373205045281
WDFY1	6.0576886403106	5.60673340468207	5.76684649192383	5.66463478398816	6.92451243459695	6.77340321302936	6.98816771446823	6.91035596226493
PSTPIP1	6.90509350572716	7.31650939754569	7.0111416704634	6.58858105170863	5.57290450648796	5.67198995483766	5.48543201746259	5.81441487684796
CDC37L1	7.61576664832892	7.31910374459269	7.3509594910794	7.69186326910474	8.40034396476072	8.44207936729735	8.53982339820157	8.51274274900937
S100A4	11.0327364338319	11.4585645027879	11.6817709354232	11.5550163382757	10.3569586997218	10.459151201077	10.1593208335748	10.3016377209503
RPL34P18	7.72049981016569	7.80854669948589	7.93779677224958	8.04021248560475	6.97011698677593	7.00300877221687	6.86401562725816	7.08289693374418
HK2	7.09840198715304	7.15535640230133	7.04132220486824	6.97770588029864	7.9183062411529	7.87296387406068	8.1971755679495	7.96862932564833
HBBP1	10.2200802545836	9.95437680119779	10.1997858754997	10.2323336802925	9.34495786339223	9.47473005137564	9.37716454851462	9.44507601956372
PLAC8	6.85657335126882	6.52622519336362	6.89620130407973	6.56088942009175	5.58562626962891	5.52398181754251	5.36757714242156	5.70631230178981
NUS1	7.02827109898999	6.86264383598095	7.14320946248545	7.0226763046122	8.0286990127753	7.78013014796668	8.06026997228674	7.92836624867478
ZNF292	6.8435791469755	6.89415903337181	6.75129474225813	6.92462624395239	7.90221180648053	7.78407908021217	8.17319950093933	7.72278880866164
ODAD4	9.80058134821883	9.8935991254645	10.159276363147	10.1534579619772	9.03779152541193	9.17192579706588	8.84799723793367	9.0876486371282
H1-3	5.10973382034582	5.52281584697265	5.02985002626443	5.37584029567095	3.91205348889569	3.66786451472591	3.37977265221317	3.58348571313821
SNRPD1	14.3635124573594	14.4359580583792	14.573078048845	14.4668636529565	13.6519381342071	13.8682954969928	13.6155025209799	13.7468020381686
HYAL3	6.56111235206228	6.8308583173736	6.59379297199588	6.44224553009217	5.55866272751738	5.65811311175219	5.56762249800401	5.53960355213978
SLC2A4	6.97090364548931	7.56982552680735	7.57640599931088	7.52085870066064	6.28173385538111	6.31928894311283	6.33129510116895	6.28550057494481
RPL34	13.2499214291764	13.5909305635467	13.7720708365307	13.6254137957444	12.5158137430204	12.6820762459564	12.3254987771611	12.5832787722739
CSPP1	8.65114509065263	8.74498754376531	8.63555785729632	8.74427494588917	9.44613220117463	9.30393332918166	9.56672084408889	9.39173020452638
H2AC8	6.07760619719147	6.19393669564674	5.92850736846937	6.59842132727245	4.82493069083722	4.9445615171496	4.49277755673466	4.84920677603411
EIF3K	11.6838931381487	12.0771740739472	12.1961361349585	12.0546558339663	11.0694508194103	11.1238143474565	10.8771634889494	11.082780526479
SAC3D1	8.74984266377844	9.3639243322332	9.57352428100077	9.47347308286951	8.08698741008141	8.12654105735214	7.80969212644541	8.02057738068354
H2AC16	5.94736073591159	6.165085430082	5.55703307291652	6.18359756190167	4.19298758692681	4.75862075783989	4.23622091558839	4.42630558579009
CLINT1	9.64314552247392	9.13380341577811	9.05224322325386	9.24596526689053	10.5564023929015	10.3088532722069	10.8795906936007	10.6013330065636
IER2	7.58053312820194	7.75768339114023	7.76465874679209	7.6913339660526	6.85932579760701	6.95704162418986	6.77638044597476	6.95253137819795
ENTPD4	7.26227617346738	7.43202054221487	7.15383632634815	7.18206596148925	8.15890286693681	8.03093869935937	8.35276962420222	8.16568314922401
PIN4	9.68656728824038	9.54091740764493	9.91391088123329	9.8628269879117	8.98916862884323	8.9219779823697	8.86686342448153	8.97700736618867
ADSS2	7.40039928071072	6.89793264117867	7.10280127230676	7.15689376704032	8.11950410674474	8.07929610829391	8.28233091354354	8.12335874344818
RILP	10.5380087749658	10.8223228307101	10.816007377791	10.6392895101766	9.9143215277391	10.028012717105	9.77656373151743	9.86330095430059
RPL22P1	9.03924342879839	9.51453389409459	9.68529008079832	9.64960879400355	8.40702627045989	8.38097203809707	8.26555150120073	8.48695001123052
CAP1	9.31120358321087	8.51785585620231	8.53960420157219	8.77834840626005	10.3339651976955	10.134516083902	10.6691368420084	10.4508481877555
UBALD2	8.76902852156026	9.2078220801626	9.12200572164764	9.04756289583372	8.14488754075268	8.2400208537076	8.08689573326875	8.2045427314915
PPP4R3B	8.92486507875264	8.40533905552341	8.70863192361099	8.69797386392009	9.76308116309025	9.55687343895907	9.87110872875583	9.71164726924298
ELF1	8.61277709961584	7.9459328268691	8.05469431292048	8.10922845306823	9.58652585940176	9.311511625178	9.99132565535028	9.67362905649311
GSTZ1	9.0504384899311	9.15296600427928	9.29766761030672	9.20709178757278	8.46502202606965	8.51103720025448	8.2763427991334	8.39377664332715
INTS2	6.30634384583543	6.14420657953334	6.12694851512861	6.48715495425615	7.59864390646774	7.1823109037167	7.84477193897494	7.54135832030746
PODNL1	6.06562372187467	6.59129332158194	6.3451018812991	6.30788836633637	5.15107638816169	5.25811440914143	4.98231693401983	5.25840711769875
RPS5	11.8806027856582	12.3081031118004	12.4685490183001	12.3193082218993	11.1956569710368	11.3504785584687	11.0242167596737	11.2379674514767
BCAT1	9.76241701318163	9.51258966634286	9.7408027772729	9.75293923896048	10.474843426918	10.3649284064183	10.5607566567003	10.3876634924234
SMIM4	7.25587116385984	7.71960922955262	7.84684476024921	7.82948395883466	6.6138190347405	6.63696683499296	6.56421998625298	6.64291775424344
NDRG1	6.52656319614685	6.31318696970192	6.46511269038212	6.52688636741735	7.27718068239413	7.30212222800545	7.36500366848033	7.33379949742293
EVPL	8.61240836345261	10.037976219142	9.5035175683808	9.03724200161255	7.76231190612921	7.71733334282473	7.5171435529619	7.59566805730958
DICER1	7.15690940460257	7.22944788921396	7.25745120444522	7.4369193535267	8.38633186088843	8.0909895949485	8.66527412378647	8.30519409240259
TMEM186	8.38643740948619	8.72164913429602	8.70764616229346	8.69359716662617	7.74786615718208	7.83472367601199	7.71567395508606	7.88626337945638
CCDC82	8.68874661142918	8.10820733010179	8.17459789598297	8.4011755083708	9.46966254672993	9.41741176393291	9.62947264329932	9.45013431244807
TMEM86B	4.91559711321073	5.10608535155954	5.02605804331924	5.09326833905556	3.91892765195422	3.74921014520707	3.64503268966096	3.56602956903731
RINT1	5.33151519446497	4.95189211809829	4.84393990025411	4.90451931040779	6.30325319750832	6.07189884498846	6.3567298939253	6.26234021717973
BAG4	5.72564733896939	5.35905449248011	5.69260441792101	5.87420268919106	6.96957536872165	6.66727183370604	7.05646073010371	6.88972119956474
