id,GSM1618288,GSM1618289,GSM1618290,GSM1618291,GSM1618292,GSM1618293,GSM1618294,GSM1618295,GSM1618296,GSM1618297
PDE7A,9.0031,9.256247,9.450629,8.286573,8.008281,8.051991,7.885276,7.919519,7.570174,7.695473
DLC1,6.311226,6.273275,6.051377,8.361549,7.939437,7.578383,7.156724,6.742502,6.46114,6.728681
CFI,3.782227,4.124625,4.187477,3.039343,3.039344,2.93535,3.066616,2.885652,3.086936,3.097065
WDR5,8.576054,8.827709,8.763673,10.0572,10.37464,9.879104,10.35342,9.887736,9.193871,9.206349
PRPS1,8.966569,9.216788,9.271142,10.38126,10.21659,10.04484,10.2716,10.18647,9.529563,9.332747
LMNB1,7.977872,8.496775,8.532634,9.79871,9.642372,9.542552,9.486662,9.391684,8.790152,8.943966
MIR155,7.03993,7.106524,6.800584,6.128963,5.740441,5.753005,5.627736,5.674056,5.836771,5.821794
ERI2,6.974792,7.514217,7.572318,9.10755,8.636216,8.94179,8.973155,9.177209,9.400968,9.419691
CCT5,8.669388,8.962976,9.018081,10.14734,9.817166,9.873392,9.791947,9.775943,8.945429,8.968679
TSTA3,8.91842,9.195306,8.756998,10.16556,10.19746,9.952252,10.71374,10.5413,11.38991,11.58001
CEP152,6.901178,7.179885,7.315193,8.736586,8.247719,8.620431,8.192831,8.525813,9.057975,9.172817
SNORD116-3,12.03438,11.38433,11.38665,9.130787,9.64825,9.801409,9.51499,9.662029,8.986313,9.544905
SNORD116-9,12.03438,11.38433,11.38665,9.130787,9.64825,9.801409,9.51499,9.662029,8.986313,9.544905
TAS2R10,7.281918,7.257155,7.039867,5.469913,4.609775,5.551985,4.833582,5.009677,4.658751,4.916307
UMPS,7.098947,7.56566,7.605503,8.710268,8.646631,8.487313,8.412663,8.425028,7.52695,7.500587
TPSB2,8.487345,8.656263,8.262131,10.49875,10.57723,9.963778,9.786349,9.071519,8.694435,8.633332
TIMM17A,6.639628,6.925566,7.127641,8.279282,8.006115,8.018955,7.930715,7.942957,6.926201,7.142467
PARP8,7.764401,7.694641,7.853367,6.503359,5.794425,5.615954,5.801354,5.490761,5.526368,5.409142
AHNAK,9.577274,9.533354,9.405738,8.630488,8.145988,8.303209,7.744149,7.584617,7.822438,7.640633
CEP76,6.529856,6.911914,6.826086,7.915549,7.966126,7.734352,8.03209,7.742528,8.661791,8.745369
ARHGAP6,6.311677,5.929551,5.909601,7.480301,7.418484,7.094566,7.272837,7.021222,6.288674,6.392441
OTTHUMG00000016489,8.354144,7.983947,8.207178,6.824245,6.645629,6.766864,6.925857,6.308517,6.50338,6.723574
SYT11,7.072411,7.901563,7.743591,6.048721,5.743195,5.772867,5.218321,5.384215,4.94356,4.984823
LAT,8.906218,8.913225,8.922938,10.05342,10.0204,9.722268,9.615271,9.503601,9.197695,9.500549
HLA-DRB6,8.967673,9.268919,8.782197,7.61445,6.837826,6.798287,6.936395,6.634345,6.852727,6.766077
RNU6-15P,11.42941,11.19525,11.20792,9.800135,9.694562,10.23222,9.736737,10.08829,10.50193,10.35958
PPP2R1B,8.456562,8.793843,8.837262,9.883677,9.76217,9.640856,9.948245,9.788019,10.46284,10.33272
LOC541471,7.222839,7.598966,7.342546,9.110148,8.632372,9.199821,8.37855,8.872516,8.748212,8.860357
KIAA0101,7.351497,8.238142,8.102715,9.822178,9.606893,9.572605,9.726211,9.787167,9.636109,9.577108
AGPAT1,7.858924,7.933773,7.99448,8.929711,9.203383,8.815657,9.05263,8.969995,8.722139,9.010864
CYP2C8,5.050323,4.889977,5.49195,3.822863,3.993568,3.786808,3.772104,3.898249,4.03022,4.001853
OTTHUMG00000031890,6.188334,6.605287,6.282794,5.183895,5.428891,5.142559,5.405179,5.254366,5.28905,5.28761
GOLGA8O,8.140135,8.311979,8.874746,6.847829,6.742032,6.961474,6.802987,6.944134,7.031565,7.384118
TAOK3,10.05026,10.21747,10.40227,9.2593,9.00571,9.133246,8.911614,8.854118,9.004353,9.331629
TCP11L1,7.947066,8.06634,8.268514,7.263533,6.941995,7.004501,6.886528,7.034943,7.552732,7.617489
ZDBF2,6.781971,6.909557,7.031103,5.360935,5.07128,5.139946,5.641237,5.472615,5.857584,6.725862
GTDC2,7.245956,7.51524,7.42027,8.333372,8.46679,8.431961,8.665543,8.649069,8.722907,8.335883
EME1,6.84783,7.009858,7.177348,8.265151,7.934799,8.042386,7.997592,8.178187,7.858824,8.030453
OTTHUMG00000035703,6.04152,6.789159,5.899106,4.499662,4.029024,4.146048,4.196816,3.766743,4.161376,4.267544
TAP1,7.74662,8.327694,8.372783,6.720224,6.792025,6.408852,6.630453,6.474739,6.696131,6.83657
HYOU1,8.913761,8.911672,8.871147,9.84091,10.096,9.78672,9.807895,9.553,9.293949,9.545572
ATP9A,7.945492,7.541154,7.288297,6.285549,6.358388,6.156356,6.558502,6.47693,6.307187,6.161746
ZFP28,6.763446,7.222881,7.41702,5.666945,5.931357,5.558543,5.61211,5.581451,5.603461,5.561704
OTTHUMG00000018253,6.249612,8.026947,7.102631,4.129719,3.982193,3.434763,3.628819,3.602443,3.722783,3.402677
SLC8A3,6.576531,6.934973,6.864171,5.893245,5.682744,5.613825,5.618884,5.433279,5.647398,5.511413
PPBP,10.20963,8.372741,7.637492,4.298927,4.251589,4.095436,4.649229,4.108655,4.328163,4.173069
C1orf21,7.358019,7.434982,7.734386,6.408562,6.459604,6.306644,6.258814,5.888897,5.942759,5.848154
POLI,8.977116,8.869495,9.029654,7.865704,7.409662,7.899162,7.438981,7.714225,6.504684,6.674401
OTTHUMG00000012496,8.345863,8.797668,8.508774,7.280892,7.190808,7.022973,7.179768,6.632682,6.499509,6.503587
RAB3D,8.587884,8.602617,8.509396,7.388738,7.258569,6.898184,7.255522,6.787112,7.153099,6.852359
IGHV3-72,5.925947,6.206727,7.063654,4.278702,4.361,4.058331,4.461855,4.495883,4.710314,4.391359
IGHD3-16,7.530567,6.047317,7.978535,3.642992,3.133081,3.315354,3.422481,3.556351,4.361793,3.408922
OTTHUMG00000164799,5.05234,5.430532,4.382821,2.988485,2.780154,3.109574,3.041677,2.85464,3.167747,3.440027
TRDMT1,7.211743,7.669281,7.65266,6.447811,6.362953,6.44698,6.28768,6.444724,5.991786,5.903971
RNA5SP96,5.411943,5.549839,5.187188,7.25382,7.630466,6.715599,6.511953,6.233458,5.861912,6.056725
MED8,7.43928,7.937744,7.627039,8.846073,8.894152,8.826378,9.042059,9.25024,8.675824,8.978326
LOC100653243,8.143293,8.054034,8.770658,6.772877,6.859518,6.934086,6.955238,7.085752,7.332851,7.198379
CDC42-IT1,8.168362,8.002949,8.006039,5.936261,5.585524,6.177366,5.044546,6.141555,5.976079,6.095073
USP30-AS1,7.1158,7.722842,7.831728,5.947024,5.965743,6.128904,6.282621,6.131112,6.728653,7.042828
OTTHUMG00000152788,9.069712,8.81522,8.996282,7.326469,6.740862,7.510386,6.899148,7.372534,7.551728,7.863174
NUS1,9.627739,9.849801,9.933079,10.85322,11.04944,10.75244,10.8784,10.56731,9.786514,9.920225
H2AFZ,8.203781,8.721317,8.589252,9.708097,9.56742,9.598433,9.591066,9.447367,9.20329,9.283434
GALNT12,7.134552,7.314198,7.372269,6.205367,6.181533,5.698487,5.951882,5.71488,5.636924,5.704846
POP4,7.396874,7.468191,7.479786,8.63462,8.944588,8.405063,8.873005,8.539195,8.300787,8.388054
IGLV2-18,8.673252,8.530456,8.940413,7.718758,7.422747,7.75529,7.291883,7.336908,7.681758,7.700862
STAT4,5.328595,5.634577,6.017689,4.317039,4.331362,4.08088,4.406217,4.147658,4.286419,4.270369
OTTHUMG00000159926,7.433079,7.593758,7.483638,6.450015,6.228632,6.520823,6.137869,6.470723,6.245291,6.554912
PCDHGB2,5.959184,6.691476,6.326415,4.753912,5.066812,4.744671,5.163996,5.07494,5.06031,4.985126
C1QTNF4,8.256098,8.528372,8.639421,7.297723,7.484023,7.405212,7.476164,7.464785,8.009734,7.66732
RNASET2,8.805735,8.356328,8.880727,7.126565,7.000531,7.482459,6.816957,7.164493,6.753194,6.767391
CD109,9.543214,9.538265,9.524714,7.221128,5.849553,5.441638,5.190763,4.375431,4.359674,4.401163
RNU6-10P,9.175508,9.777387,9.400996,7.387826,7.419556,8.00958,7.031408,7.570855,7.468082,7.405804
PISD,7.955455,7.901538,7.809974,8.760956,8.983155,9.17013,8.928961,9.275726,8.656176,8.703506
DPYSL3,7.101103,7.792627,7.156158,5.867732,6.000119,5.867944,6.031416,5.93599,6.20908,6.040766
PDGFD,8.082088,8.163078,8.086354,6.922088,6.139971,6.267419,6.121295,5.886817,5.954749,5.559641
IGHV5-78,8.037416,8.291224,8.982545,6.385595,6.753901,6.481061,6.498498,6.555806,6.884608,6.521825
OAS1,6.112575,6.18912,6.552726,5.29581,5.303121,5.100947,5.239667,5.113147,5.419858,5.43251
RNU6-36P,11.29585,11.06451,10.9825,9.745974,9.575915,10.10291,9.74089,10.02957,10.41483,10.21123
UBE2M,8.291686,8.436501,8.344331,9.675831,9.795909,9.293313,9.630934,9.312839,9.12527,9.346384
OTTHUMG00000161873,4.952551,4.827793,5.475646,3.21011,3.688951,3.256189,3.696401,3.281724,3.427494,3.206824
EMBP1,7.611579,8.458879,8.570311,6.181523,5.104913,5.185421,5.281691,4.874341,4.798582,4.824196
SP140,7.330096,7.149541,7.971004,5.936214,5.931621,5.845533,5.848961,5.636,5.835812,5.687169
NCF1B,9.243528,8.602922,8.733509,7.491518,7.634546,7.426969,7.12725,7.013507,7.074664,6.866556
LINC00665,8.300438,8.385263,8.530095,6.888251,6.613573,7.188898,6.769483,7.366329,6.794086,6.807781
RNF26,8.420026,8.125069,8.02758,9.179471,9.307707,9.37466,9.386915,9.524761,9.375978,9.700329
DNA2,7.018194,7.49334,7.673371,8.977922,8.604867,8.748695,8.640423,8.686193,8.827501,8.853766
MIS18A,6.7832,7.151628,7.225025,8.388665,8.400239,8.020475,8.193216,8.11973,7.675805,7.82133
CIB1,8.138214,8.297894,8.299081,9.42589,9.317017,9.070477,9.48843,9.190619,8.399834,8.537451
PCBP1-AS1,8.615749,8.757828,8.719054,7.601919,7.43109,7.718038,7.421823,7.765501,7.381644,7.733782
SGPL1,7.855665,8.290421,8.340105,7.06443,6.959823,6.735947,6.642989,6.381444,5.755847,5.760183
STRAP,8.973914,9.235855,9.253658,10.24213,10.51542,10.17969,10.56136,10.17001,9.648531,9.553381
MLLT11,8.533034,8.756046,8.98026,7.767505,7.548529,7.416405,7.340182,7.087878,6.747831,6.609658
ODF2L,7.372056,7.647591,7.87269,6.532231,6.242358,6.581746,6.345965,6.457913,5.593892,5.695246
TMEM245,9.072232,9.165231,9.248699,10.14904,10.14878,10.24048,10.19604,10.36116,10.62714,11.07624
CDH5,7.195858,7.473707,6.93502,6.00366,6.212721,6.06316,6.225314,6.137957,6.47414,6.421732
ZNF493,8.78838,8.971146,9.097647,7.547071,7.051123,7.212812,7.39923,7.399807,7.087046,7.872971
KHK,7.125348,6.752075,6.83513,7.815873,8.249079,8.249654,8.069006,7.974469,7.471379,7.339231
OTTHUMG00000152699,6.311312,6.209173,6.381553,5.195485,5.091315,5.337446,5.212283,5.671957,5.512142,5.691253
PHYKPL,8.361672,8.444204,8.45678,7.386601,7.284042,7.582116,7.281274,7.637211,7.236659,7.416887
SLC18A2,7.507771,7.858999,7.474343,6.523679,6.381671,6.653234,6.33902,6.075656,6.260744,6.154246
MRPL49,8.452522,8.528176,8.621586,9.755314,9.350587,9.640117,9.47242,9.77169,8.841899,8.914762
PRG2,7.625484,7.450041,7.055772,8.93813,8.797595,8.637417,8.183409,8.580225,7.860156,8.107471
C15orf65,5.330583,5.157596,4.87009,6.343138,6.401651,6.158541,6.363762,6.17478,5.995691,5.680755
PPM1G,9.005345,9.389402,9.277681,10.55494,10.27497,10.13766,10.11537,10.15883,9.334559,9.284342
TMEM194B,8.050743,8.266044,8.341179,7.313465,7.184965,6.925281,6.836792,6.559833,6.535271,6.550463
GNG11,6.490197,6.525001,5.876571,4.873366,4.969502,4.899796,5.017308,4.802605,4.771063,4.949425
ARHGAP24,6.332872,5.500485,6.484868,4.246425,4.377905,4.270358,4.39958,4.340248,4.556221,4.480159
ZNF709,6.94629,7.536345,7.700078,5.704506,6.059693,5.777087,5.903834,5.708425,5.796154,5.751599
IGHV3-9,7.259905,6.846537,8.179422,5.144785,5.006536,5.246984,5.422666,5.324664,5.59833,5.483206
KIAA2026,8.152874,8.229933,8.205443,7.157056,7.073053,7.347666,7.002206,7.304251,7.9156,8.213853
C11orf63,6.049149,6.362404,6.535817,5.383594,5.274414,5.273179,5.329968,5.316026,5.256044,5.16957
GTF2E1,6.786522,7.120607,7.111406,8.384298,7.975369,8.005297,7.877594,7.941522,7.046377,7.09769
ABCA5,6.592393,6.942102,6.896826,5.85278,5.537696,5.645,5.625429,5.720709,5.89172,6.235506
PPP1R9A,6.261291,6.32602,6.419571,5.136637,5.009833,5.492033,5.135864,5.41351,5.204918,5.084241
EHD3,8.72412,8.866778,8.787939,7.775785,7.435741,7.61386,7.443124,7.961538,7.283031,7.418678
PARP14,9.575689,9.591344,10.01025,8.539557,8.293287,8.171648,8.417834,8.314385,8.809031,9.3001
PPAPDC1A,6.621697,6.415868,6.29496,7.537903,7.894063,7.453648,8.004324,8.272658,7.504546,7.343143
SNORA50,11.17487,10.92671,10.9224,9.642282,9.311304,9.793847,9.309171,9.896688,10.05251,10.1127
OTTHUMG00000161580,8.110485,8.371468,8.125346,6.937487,7.177527,7.36025,7.282406,7.423233,7.869691,7.741528
EVI2B,9.063622,8.96102,8.994998,6.717526,5.075773,5.352052,4.451054,3.421364,3.316549,3.444414
GTF2IRD2B,8.222713,8.317223,8.497452,7.283094,7.346419,7.257109,7.228158,7.181774,7.095468,7.564176
CRHR1-IT1,6.653366,7.272426,7.073167,5.771772,5.631638,5.79277,5.650327,5.928655,5.376932,5.326309
CHUK,6.83215,7.23563,7.328371,8.222541,8.199495,8.103994,8.265055,8.189606,8.241612,8.303995
LOC100506606,6.795506,8.005842,8.143459,5.344431,5.121354,5.092996,5.461789,5.336816,5.866666,5.848544
FAM43A,7.133937,7.765095,7.716306,6.09741,6.160072,6.199643,6.268386,6.201358,6.62601,6.267298
PRIM1,8.282473,8.998257,8.925366,10.27942,10.31544,10.0535,10.29127,10.14207,9.924246,9.771027
