"Gene"	"hs_proerythroblast_1"	"hs_proerythroblast_2"	"hs_proerythroblast_3"	"hs_early_basophilic_1"	"hs_early_basophilic_2"	"hs_early_basophilic_3"	"hs_late_basophilic_1"	"hs_late_basophilic_2"	"hs_late_basophilic_3"	"hs_polychromatic_1"	"hs_polychromatic_2"	"hs_polychromatic_3"	"hs_orthochromatic_1"	"hs_orthochromatic_2"	"hs_orthochromatic_3"
"67"	"SEMA4C"	18027	1994	2662	13714	1792	2364	4456	628	822	8	7	4	20	5	2
"68"	"GOLGA8A"	637	282	357	586	407	444	287	326	247	42	32	20	1	11	10
"69"	"SLC2A10"	953	100	146	410	51	55	54	19	14	0	0	0	0	0	0
"70"	"KLHDC1"	102	29	42	56	21	26	18	13	19	2	1	2	1	0	0
"71"	"MNS1"	2009	446	482	2044	466	499	1170	404	377	80	51	34	3	9	6
"72"	"ACACB"	6653	509	1438	4115	541	896	1321	255	257	27	11	10	3	1	6
"73"	"LOC647946"	310	81	87	353	89	99	254	107	127	74	20	18	0	1	0
"74"	"ZNF711"	3146	625	1069	2798	565	822	1253	375	468	345	41	60	7	5	4
"75"	"SPHAR"	161	97	86	148	94	69	88	62	85	55	21	17	0	4	0
"76"	"FAM161A"	956	184	196	964	212	220	519	154	131	38	9	22	2	0	1
"77"	"RIN3"	17357	1876	2992	10769	1699	2152	3156	736	647	14	5	6	32	9	6
"78"	"PEX11A"	261	55	75	204	49	53	92	30	17	3	1	1	0	0	0
"79"	"FAM47E"	249	68	52	173	41	37	54	20	13	0	0	1	0	0	0
"80"	"CPVL"	57540	6442	9390	62711	8020	9954	29907	6095	5800	358	108	78	66	23	26
"81"	"HOXA1"	473	136	139	369	122	130	262	131	119	15	14	7	5	2	1
"82"	"MTL5"	4609	590	1240	2819	476	891	936	191	295	11	2	20	4	0	6
"83"	"COCH"	7095	1073	1478	5804	1025	1108	1673	438	362	31	6	21	16	6	5
"84"	"FZD1"	376	148	258	394	204	249	306	269	192	158	127	96	3	11	8
"85"	"MINA"	6421	964	1234	4740	836	932	1387	338	283	1	2	0	10	1	10
"86"	"LRG1"	650	106	123	363	67	99	119	38	48	4	0	1	0	0	1
"87"	"ZNF69"	1004	93	169	567	75	121	177	39	40	5	1	2	0	0	0
"88"	"OAF"	5560	654	656	2198	250	292	363	47	46	4	1	1	1	3	2
"89"	"MAP7"	1751	555	507	1306	481	362	556	368	268	18	6	3	17	5	5
"90"	"ZDHHC21"	1959	383	457	1598	427	414	716	283	287	90	32	28	10	5	4
"91"	"ANKRD36BP2"	740	191	410	600	207	397	386	142	214	86	53	52	11	5	8
"92"	"RASGEF1A"	74	40	29	48	16	18	8	6	1	0	0	0	0	0	0
"93"	"TMCC2"	830	71	172	2137	181	153	5651	350	280	96676	30968	48154	804668	181884	254652
"94"	"APBB1IP"	9577	1003	1583	6399	688	1131	2271	313	515	21	4	1	5	3	0
"95"	"CCDC8"	996	90	270	430	55	174	143	19	70	0	0	0	0	0	1
"96"	"ZNF618"	8137	556	1113	6445	779	900	3021	526	519	14	6	4	4	1	4
"97"	"C4orf43"	5174	1188	1038	4584	1200	946	2540	802	676	193	67	64	20	7	17
"98"	"BIVM"	3419	659	775	3112	642	854	1969	542	606	240	52	77	11	7	8
"99"	"CDCA7"	11962	1049	3224	7173	916	2574	2340	415	1442	158	31	86	12	12	11
"100"	"APOC1"	39897	4261	9368	28950	3627	6323	11763	1720	2232	254	40	58	47	17	30
"101"	"FBLN1"	178	42	49	89	18	35	39	9	13	0	0	1	0	0	0
"102"	"ZNF354B"	736	145	334	741	171	251	309	151	175	19	7	13	7	4	2
"103"	"SNHG4"	702	105	145	433	96	99	86	45	28	1	1	1	3	1	1
"104"	"EPHB4"	16178	2203	3853	13171	2160	3276	5686	1350	1523	80	20	26	55	18	10
"105"	"IL7"	1027	129	225	650	71	94	135	21	34	0	2	1	0	0	1
"106"	"ZNF404"	107	58	56	113	53	42	26	36	22	9	3	2	2	1	0
"107"	"ASAP3"	5	0	0	11	1	1	22	1	0	1456	161	247	5553	1023	1309
"108"	"ZNF280B"	613	68	84	370	81	115	133	38	47	3	0	0	0	0	0
"109"	"TPD52"	562	114	377	363	86	272	92	25	136	5	0	1	3	0	0
"110"	"TMEM117"	1519	164	234	1198	169	205	594	107	166	26	3	8	0	0	1
"111"	"B3GNT1"	3376	296	591	2219	259	425	809	129	193	3	3	1	3	2	3
"112"	"CHSY3"	519	90	158	612	85	154	207	52	91	4	2	1	1	1	1
"113"	"LOC728819"	32	19	17	26	10	12	15	8	11	0	0	1	0	0	0
"114"	"ZNF680"	1749	389	572	1601	415	510	1090	401	435	265	65	51	11	6	6
"115"	"PRKCH"	1649	338	324	1683	352	246	713	158	140	10	0	1	2	1	0
"116"	"SCARB2"	25123	4947	5361	19274	3200	3861	6837	1364	1490	986	171	226	88	18	17
"117"	"KDELC2"	7081	796	1163	5211	771	875	2274	564	597	262	98	81	12	9	7
"118"	"PRKAR1B"	19473	2003	3451	15610	1985	3184	7509	1292	1729	155	23	33	24	15	8
"119"	"SCCPDH"	16144	2396	3262	14823	2120	2733	7491	1487	1884	607	84	150	30	13	19
"120"	"OSBPL5"	2796	343	601	2736	492	569	1911	523	553	184	72	77	4	8	5
"121"	"RUNDC3A"	91	16	17	283	17	19	883	40	58	24209	2906	4795	176260	24371	34564
"122"	"SLC10A4"	6078	1759	860	4001	1266	594	942	333	109	11	2	2	17	4	6
"123"	"GAS6"	2519	213	579	1552	226	403	438	90	125	0	1	3	3	0	3
"124"	"SKP2"	14042	1856	2030	11689	1997	1737	5329	1378	1137	370	73	108	19	14	18
"125"	"CRYZ"	1716	319	634	1315	200	560	450	108	272	11	4	4	13	1	1
"126"	"MANEA"	4162	714	841	4056	880	1052	2412	768	761	450	141	121	17	6	12
"127"	"PALM"	1422	210	493	645	144	273	205	45	70	3	1	0	7	0	2
"128"	"ZNF642"	862	175	190	929	194	186	446	104	149	16	6	6	3	2	2
"129"	"DPPA4"	1237	107	374	627	53	215	139	28	54	2	0	1	1	0	1
"130"	"ZNF74"	3057	290	606	1777	240	423	466	82	126	5	1	0	5	0	1
"131"	"ANAPC4"	4501	851	1001	4630	1069	1081	2749	906	761	395	126	100	18	15	12
"132"	"SLC25A43"	1540	246	270	1152	182	188	512	91	82	1	2	3	4	1	0
"133"	"FAM129B"	26194	2454	5463	17492	2074	4435	5393	748	1367	39	5	9	45	8	4
"134"	"SLC19A1"	7762	693	1228	6310	709	1152	1989	333	357	22	7	6	10	4	4
"135"	"FLJ44511"	218	78	108	406	123	141	323	128	150	7	1	2	2	2	0
"136"	"ZNF610"	82	20	27	52	24	14	34	29	13	11	9	8	0	0	0
"137"	"TET1"	2001	210	260	1405	243	202	570	116	107	0	0	1	0	2	2
"138"	"KLRD1"	0	0	0	0	0	0	1	0	0	0	3	2	63	16	37
"139"	"ALDH1A1"	18606	2915	3702	11640	1816	2842	3373	795	1051	46	20	12	86	18	22
"140"	"THEM5"	17	1	0	2	1	0	8	0	1	378	222	312	545	649	905
"141"	"ZNF248"	1733	200	371	1285	233	306	570	170	187	74	21	12	4	2	1
"142"	"LOC100507433"	203	38	93	218	48	53	91	36	27	42	9	8	0	0	0
"143"	"HPDL"	5464	486	841	3176	395	686	658	141	170	22	10	3	6	2	5
"144"	"C8orf55"	12512	1212	1711	9689	1198	1525	3721	680	740	157	57	40	12	11	11
"145"	"NANP"	5676	1003	1116	6339	1257	1233	3650	1078	1069	400	105	125	18	13	17
"146"	"SAMD13"	195	34	65	104	16	28	38	7	12	0	0	0	0	0	0
"147"	"MAP2K6"	536	58	68	284	51	52	77	18	17	0	0	0	0	0	0
"148"	"OSGEPL1"	1366	283	332	1402	283	320	754	245	237	26	12	9	8	5	4
"149"	"CCDC169"	724	72	181	593	84	153	208	32	85	11	3	6	0	1	0
"150"	"CMAHP"	732	188	195	860	238	243	727	339	226	144	50	38	5	4	2
"151"	"NT5DC1"	4624	671	827	3983	664	771	1869	459	507	143	41	32	7	2	13
"152"	"PMS1"	5601	1093	1591	5391	1077	1450	2330	701	882	189	69	42	36	9	20
