"","x"
"CD8A",0.949210665056641
"GABARAPL3",0.993510878547204
"CXorf36",0.949210665056641
"IGSF22",0.673529388771647
"C11orf85",0.916341536748943
"ERBB3",0.796283817994662
"C3orf58",0.987775887351376
"BMP6",0.814023533960015
"FAM124A",0.97319476056332
"LOC643401",0.715905785804073
"GPX3",0.868897136033598
"PNRC1",0.960355169616298
"PXT1",0.653785785931061
"MIR130A",0.764991543227639
"OR2W3",0.951859206622434
"ARRDC2",0.99381919891641
"MIR4732",0.977085329577592
"CCDC24",0.933723941486888
"KCNN3",0.979665873214352
"KIAA0232",0.994605910042337
"CLIC2",0.975167573283947
"OLFML3",0.494185711304157
"TUBA4A",0.944481008406516
"FAM71A",0.954924404097612
"HIST3H2BB",0.862485336293995
"RASD2",0.526092625947712
"HIST1H3H",0.98153739985755
"ATG14",0.966046084632753
"C17orf103",0.888052070899909
"RNF11",0.992958411104674
"YPEL3",0.985992997379814
"R3HDM4",0.979232942340241
"POU2F2",0.86364433157464
"C2orf61",0.522306543376396
"SEPP1",0.838860257523001
"LGALSL",0.93344558675414
"TMC5",0.953991503260589
"MAP1A",0.886368756036887
"PPBP",0.948006484589505
"NCOA4",0.995753641291032
"CYP4F2",0.949210665056641
"C7orf53",0.531885442238872
"LINC00346",0.949210665056641
"LPIN2",0.972114026000795
"PRRT3",0.992428255883303
"TRAF1",0.778550004000579
"LINC00266-1",0.949210665056641
"TCEANC",0.987638583324489
"LOC84989",0.994489091968652
"LOC100507066",0.879684780865682
"NEFM",0.868451070931131
"LOC127841",0.949210665056641
"FOXO3",0.989572368846943
"ACP5",0.329528569684463
"ASAH2",0.949210665056641
"SLCO2B1",0.979110040707384
"CADM3",0.967243104316431
"OASL",0.738660515235209
"KRT18",0.644173056252151
"MXI1",0.899482598581903
"YOD1",0.996862195466312
"KLF5",0.969153597845245
"IGJ",0.763023784519571
"PHOSPHO1",0.977680465032733
"GBP2",0.952929710788551
"DIRC3",0.859830398133867
"ZFAND5",0.99574906369292
"C1orf61",0.674467036392262
"VASN",0.805569564421645
"MAPK13",0.94058258648792
"OSGIN1",0.935191678384744
"FAM177B",0.949210665056641
"ZNF185",0.919959005426739
"CNPPD1",0.989554975235267
"EPS8L3",0.771127902802748
"ZNF423",0.940960388948206
"POU5F1P3",0.954338759685832
"CREB3L1",0.869136790369333
"NLRP6",0.983449849347176
"DLX2",0.938822572019149
"VWA7",0.959857070462911
"FAM214B",0.919317998020296
"SLC43A2",0.990449462658963
"FAM3C",0.368607743978538
"LOC100128071",0.925472944301133
"HDAC5",0.936312582209519
"SNX24",0.920808979135131
"PF4",0.753636954385567
"ARC",0.780523569796103
"XPO7",0.973701892117767
"ANKRD26P1",0.949210665056641
"C10orf105",0.411471990963833
"SERTAD1",0.947699560374543
"PNKD",0.476490840915887
"FAM110B",0.986968415664637
"HEXIM1",0.970473651706998
"TSC22D3",0.841033328139862
"C14orf45",0.802185120477984
"C5",0.942127244082518
"HIST1H1T",0.978833562489348
"OR1L8",0.949210665056641
"LOC100129046",0.949210665056641
"ABCB1",0.424639236400431
"TSSK3",0.994093733920926
"UBAP1",0.96524761058963
"LGALS2",0.815874577754717
"HEPACAM2",0.891212761430964
"OR2T8",0.494495771519506
"NINJ2",0.955440607855557
"GBP3",0.791308813262304
"STK17B",0.990408436622109
"MIR23A",0.659101453476445
"HIST1H2AC",0.936481563794449
"HBB",0.907034911957261
"MAST3",0.986486864991773
"GPR183",0.724452518830979
"RBM38",0.986383091745496
"LOC646329",0.928807367828994
"FAM111B",0.630393983001784
"SRC",0.966957524768717
"COX4I2",0.949210665056641
"KCNK1",0.964176570488572
"RNF10",0.980860950290068
"UBXN6",0.95575099024605
"ESPN",0.398165795279726
"KISS1R",0.961414189750386
"RGAG1",0.989569061187233
"CDKN1A",0.981820434254379
"IRAK2",0.987845864495469
"SERPINE1",0.83615562179066
"FOSL2",0.442057338864089
"MICAL2",0.988849286223301
"MAP3K15",0.932084770155058
"MYLK",0.827500425131569
"AP1M2",0.949210665056641
"VSTM5",0.89672470756707
"KLF2",0.975480384592072
"GMPR",0.930372250978197
"RASD1",0.810316582361207
"ABHD4",0.990559987332868
"CASP4",0.435118736207665
"FLJ42709",0.949210665056641
"FANK1",0.325395780989437
"SPDEF",0.716238291745653
"SH3BGRL3",0.949333648012074
"XIRP2",0.960803569604084
"DDIT3",0.894699447378836
"SLC25A47",0.945947577798593
"NANOS3",0.959901878738924
"MKRN1",0.988054647209085
"ABI3",0.983894124118758
"PPP1R14C",0.918209040621825
"GPR146",0.991370038972325
"MKRN9P",0.984279174931293
"IBA57",0.92673111713259
"PNPLA2",0.978230379663025
"HIST1H2BD",0.937580774186607
"MAFF",0.986044063855537
"SCARA5",0.784291632341197
"KIAA0513",0.982308247435645
"FITM1",0.824850879282032
"ZSCAN4",0.801974198563417
"HPD",0.972426837998271
"HIST2H2BE",0.949169854185908
"MIR101-1",0.949210665056641
"SLC2A1",0.939034985147552
"ADIPOR1",0.996755437052201
"PRSS50",0.410984254061384
"STK17A",0.976605681563566
"BIRC2",0.989004886031904
"SLC6A12",0.861142056628062
"PLS3",0.607211164598152
"LHX3",0.753499755113405
"PNMA1",0.91294946534798
"TMEM40",0.946153738253631
"LOC100128292",0.967078797515852
"MALAT1",0.989019995352265
"LOC100507373",0.774149430948831
"DYSF",0.987494007125875
"SLC8A2",0.795562312148393
"PVRL4",0.947794299576213
"UBE2B",0.994986982267488
"SCGN",0.929731726828044
"SLC22A1",0.986323075301924
"SELENBP1",0.813128864233357
"KLC3",0.825032342472217
"UBR2",0.948216243309533
"CDKL1",0.956387874339607
"MIR29C",0.794974415453284
"SERTAD2",0.963667200087196
"OR10H2",0.913107120729945
"TTYH2",0.947669051876502
"SLC25A37",0.855749647645423
"CLEC1B",0.607197047970084
"PLSCR1",0.573419935258899
"NIN",0.637690239410517
"PIM1",0.911946804115513
"MIR4656",0.98038477526964
"WDR86",0.592637128354771
"ABTB2",0.95895592819027
"FAM55A",0.385295541166707
"LY6G6C",0.949210665056641
"SNTA1",0.883942814520402
"USP1",0.635300875628694
"OR2AK2",0.949210665056641
"CDR2",0.899307983556057
"ADAM12",0.805495252364633
"WWC3",0.996511561253843
"SLC13A4",0.984477072280229
"CLN8",0.994985414461463
"C17orf98",0.582720003362172
"OR2AT4",0.607394636274946
"CCDC17",0.891928011998105
"PCSK6",0.974493021854986
"CHIT1",0.831730948346793
"HLA-A",0.882801975060954
"YPEL4",0.872097898771598
"LRRC31",0.949210665056641
"VWF",0.858121648807962
"8-Mar",0.994117181261287
"GUCY2E",0.716808151623673
"SEC14L1",0.991070278708575
"CD163L1",0.924386462652807
"SEMA3E",0.979854154323571
"LOC441455",0.989956738915489
