id	D1	D2	D3	M1	M2	M3
DNAH17	4.95419631038687	4.4594316186373	4.58496250072116	4.24792751344359	5.16992500144231	4.95419631038687
CTBP2P8	0	3	2.58496250072116	1.58496250072116	2	3.16992500144231
RPTOR	10.0633950812885	10.1446582428319	10.0223678130285	10.0633950812885	10.243173983473	10.0768155970508
USF1	10.5980525001616	10.6865005271832	10.4584066132365	10.5459297690855	10.742309436084	10.6193029554157
UGGT1	12.4985999287703	12.6532929453828	12.6805792957802	12.399010832952	12.6440815932657	12.6190736468177
RIBC1	6.64385618977472	6.02236781302845	5.70043971814109	6.02236781302845	5.6724253419715	6.28540221886225
DENND3-AS1	4.90689059560852	4.52356195605701	4.75488750216347	3.4594316186373	4.64385618977472	5.4262647547021
KCNE4	2.58496250072116	2.8073549220576	2.8073549220576	3.4594316186373	0	3.4594316186373
UGP2	11.0347989625773	11.0647427647503	10.9344280406268	10.8734441125154	11.2479275134436	11.0967151544885
HNRNPA1P53	2.8073549220576	1	0	2.8073549220576	0	2.32192809488736
SNX13	10.0768155970508	10.0014081943928	9.93221475196838	9.84705734609134	10.0042204663182	10.007027266894
MTND4P15	4.64385618977472	4.4594316186373	4.24792751344359	4.64385618977472	4.70043971814109	4.24792751344359
ARL2	6.08746284125034	6.70043971814109	6.4757334309664	5.93073733756289	6.58496250072116	6.4262647547021
HESX1	1.58496250072116	2.32192809488736	0	2.32192809488736	2.8073549220576	0
RNU6-757P	0	2.32192809488736	1.58496250072116	2.8073549220576	0	2.32192809488736
RPLP1P6	2.32192809488736	1.58496250072116	0	0	2.8073549220576	2.32192809488736
LINC00964	0	2.32192809488736	2.8073549220576	1.58496250072116	2.32192809488736	0
TMEM179	1.58496250072116	0	2.32192809488736	2.8073549220576	2.32192809488736	0
DIO3OS	2.32192809488736	0	2.8073549220576	2.32192809488736	1.58496250072116	0
TNFSF12	0	2.32192809488736	2.8073549220576	1.58496250072116	0	2.32192809488736
FGFBP3	7.76155123244448	8.29001884693262	7.92481250360578	7.8008998999203	8.25266543245025	8.18982455888002
FGFR3	6.93073733756289	7.07681559705083	7	6.8703647195834	7.21916852046216	7.09803208296053
RAD21	14.5644472414244	14.6401319387646	14.6666123684212	14.5823772356407	14.76284915707	14.6743026292122
PLIN2	12.7159619902551	12.6884688827327	12.6215940390175	12.6209070958853	12.7408348261453	12.813781191217
FOXN3	11.2854022188622	11.2124963851939	11.120237877342	11.1780423288648	11.1805308073445	11.1150436501617
PLPPR3	4.4594316186373	4.90689059560852	5.12928301694497	4	5.08746284125034	4.95419631038687
ARMCX5-GPRASP2	5.4757334309664	5.18982455888002	4.85798099512757	4.78135971352466	5.4093909361377	5.02236781302845
ALKBH1	7.98868468677217	8.18982455888002	8.45532722030456	7.97154355395077	8.25266543245025	8.18982455888002
MYL6B-AS1	2.8073549220576	2.58496250072116	1.58496250072116	2.8073549220576	2	1.58496250072116
