id	C1	C2	C3	C4	J1	J2	J3	J4
NHLRC4	6.4262647547021	7	6.18982455888002	6.18982455888002	4.90689059560852	4.24792751344359	5.35755200461808	5.12928301694497
MEG8	3.16992500144231	3.8073549220576	3.16992500144231	3.16992500144231	1	1.58496250072116	2	2.32192809488736
PHACTR1	8.09275714091985	8.87958324961278	8.83605035505807	8.22881869049588	6.35755200461808	7.06608919045777	7.23840473932508	7.31288295528436
SHFL	8.4178525148859	8.84549005094438	8.4178525148859	8.02790599656988	6.84549005094437	6.83289001416474	7.22881869049588	7.49185309632967
PITX1-AS1	6.6724253419715	7.35755200461808	6.68650052718322	7.06608919045777	5.28540221886225	6.12928301694497	5.32192809488736	5.4594316186373
MREG	7.92481250360578	8.38801728534514	7.62935662007961	7.63662462054365	6.20945336562895	6.20945336562895	6.84549005094437	6.79441586635011
DNAJC19P9	2.8073549220576	2.32192809488736	2.58496250072116	2.32192809488736	1	1.58496250072116	0	0
POU6F1	5.12928301694497	5.04439411935845	5.12928301694497	4.24792751344359	3.32192809488736	3.58496250072116	2	3.16992500144231
ROM1	5.04439411935845	5.8073549220576	5.04439411935845	4.70043971814109	3	3.4594316186373	3.8073549220576	4
CEP70	9.36632221424582	9.80574387215162	9.29462074889163	9.23122118071119	7.85174904141606	8.21431912080077	8.30833903013941	8.47167521439204
CSK	11.1774195379892	11.713386514937	11.211279947482	10.951284714967	9.85642552862553	9.62021982550749	10.1984450414524	10.2240016741981
PPP1R14B	11.0306671362469	11.677719641641	10.8169836232554	10.9520131648895	9.38370429247405	9.876516946565	9.84392105128904	10.0195907283579
ALS2	11.9833499276765	12.4673508144876	11.9610878899973	11.8313072438021	10.6519486107234	10.4848228942621	10.9886846867722	11.1111356702347
DOCK11	10.0606959316876	10.8185821774809	10.4635243732712	10.1395513523988	8.44708322620965	8.84235034341381	9.38801728534514	9.12670447284319
PLCXD1	9.8703647195834	10.4918530963297	9.91886323727459	9.74986942739684	8.62205181945638	8.14974711950468	8.73809225962049	9.0389189892923
UBXN11	9.7632123668144	10.4356702609366	9.82813648419411	9.85953478638265	8.57364718749332	8.61838550225861	8.87958324961278	8.97441458980553
PLD1	9.24555270625568	9.81378119121704	9.27612440527424	9.04439411935845	6.95419631038687	8.02236781302845	8.19967234483636	7.86418614465428
SLC40A1	12.9080172610628	13.4194335507054	12.9201667372389	12.7621743819931	11.116993677547	10.2443638351205	11.8533095554037	11.6479080742818
LINC01597	3.16992500144231	3.8073549220576	4	2.58496250072116	0	1.58496250072116	1.58496250072116	1.58496250072116
FN3K	10.9908130791536	11.5072991241228	10.9203528554151	10.7548875021635	9.1873520732005	8.5274770060604	9.97010589061218	9.71596199025514
ZNF121	10.0901124196643	10.7185328760692	10.1674181458317	10.0741414627525	8.79766152585376	8.59991284218713	9.06608919045777	9.35755200461808
ADAT2	10.1241213118292	10.61194694182	10.1344263202209	10.0209799389042	8.61102479730735	8.66177809777199	9.22881869049588	9.23840473932508
CPAMD8	5.39231742277876	6.20945336562895	5.70043971814109	5.7279204545632	4.24792751344359	4.85798099512757	4.32192809488736	4.4594316186373
HAUS1P1	2.58496250072116	2.32192809488736	2	2	0	1	1	1
VNN2	2.32192809488736	2	2.58496250072116	2	0	1	1	1
SYNPO2	3	3.16992500144231	2.58496250072116	2.8073549220576	1.58496250072116	1.58496250072116	1	2
NDUFA5P12	4.75488750216347	5.55458885167764	4.4594316186373	4.64385618977472	2	1.58496250072116	3.58496250072116	3.16992500144231
ZNF93	4.70043971814109	4.64385618977472	4.24792751344359	4.75488750216347	3.32192809488736	2	3.16992500144231	3.32192809488736
MTSS2	8.66533591718518	9.2240016741981	8.5077946401987	8.80413102118332	7.4262647547021	7.4178525148859	7.78135971352466	7.76155123244448
CSNK1A1P3	2.32192809488736	3.16992500144231	2.58496250072116	2.32192809488736	1	0	1.58496250072116	0
AK7	10.612868497291	11.1267044728432	10.5584207132687	10.4625022725973	8.92777796208234	8.2336196767597	9.52943055414615	9.52356195605701
SUGT1P1	4.75488750216347	5.35755200461808	5.16992500144231	4.58496250072116	3.8073549220576	3.4594316186373	3.70043971814109	3.90689059560852
CCDC86	10.3376219019925	10.6847486204216	10.1823943534045	9.99859042974533	8.84235034341381	8.83605035505807	9.35974956032233	9.22641219278879
ZHX2	7.56224242422107	7.95419631038687	7.33985000288462	7.14974711950468	6.02236781302845	6.64385618977472	5.93073733756289	6.08746284125034
PLAAT5	5.39231742277876	5.70043971814109	5.12928301694497	5.4594316186373	3	3.70043971814109	4.4594316186373	4.08746284125034
NME6	8.62570884306447	9.11374216604919	8.51175265376738	8.57364718749332	7.18982455888002	7.8703647195834	7.3037807481771	7.4757334309664
DCLK3	3.32192809488736	4.16992500144231	3.16992500144231	3.16992500144231	2	1	1.58496250072116	2.32192809488736
UTS2	2.32192809488736	2	2.32192809488736	2	1	1	0	1
TMEM216	5.7279204545632	6.39231742277876	5.52356195605701	5.55458885167764	4.32192809488736	4.75488750216347	4.16992500144231	4.58496250072116
DPP10-AS1	4.32192809488736	4.16992500144231	3	3.90689059560852	1.58496250072116	1	2.58496250072116	0
CD40	4.4594316186373	5.39231742277876	5.28540221886225	5.35755200461808	3	2.32192809488736	3.70043971814109	3.90689059560852
LYN	11.610563503925	12.1065629404449	11.5497846679479	11.4178525148859	10.1421070573025	9.7176764230664	10.65999589243	10.5651020783603
PLXND1	8.36194377373524	9.29920801838728	8.89178370321831	8.54303182025524	3.16992500144231	7.57742882803575	4.24792751344359	4.85798099512757
RGS9BP	4.39231742277876	5	4.58496250072116	4.52356195605701	2.32192809488736	2.8073549220576	3.70043971814109	3.32192809488736
FUT1	8.37937836707126	9.06608919045777	8.4594316186373	8.19475685442225	7.14974711950468	6.33985000288462	7.22881869049588	7.37503943134692
RNASEH1-AS1	8.21431912080077	8.73470962022584	8.33539035469392	8.37937836707126	6.84549005094437	6.8703647195834	7.6724253419715	7.11894107272351
PDGFRB	2.58496250072116	3.32192809488736	2.8073549220576	2	1	1.58496250072116	1	1
SMPDL3B	6.16992500144231	6.4093909361377	5.7279204545632	5.35755200461808	4.08746284125034	2.32192809488736	4.32192809488736	4.08746284125034
FAM189B	7.93073733756289	8.39660478118186	7.59245703726808	7.53138146051631	6.14974711950468	5.97727992349992	6.75488750216347	6.75488750216347
