id	D1	D2	D3	M1	M2	M3
IFIT1B	10.0237543532994	9.8703647195834	9.81217730551445	4.8073549220576	4.75488750216347	4.64385618977472
TNS1	13.8614746751258	13.9789785266877	13.7641459150634	10.1611318829843	10.1885888457073	10.3162815317462
EPCAM	11.3896313392605	11.5308939811939	11.3581017074408	8.14465824283188	8.10852445677817	8.19967234483636
TRIM10	13.5855494154361	13.5402491462456	13.4651837439944	10.5410966153495	10.6653359171852	10.6147098441152
S1PR5	0	0	0	3	2.8073549220576	3
EVPL	9.97441458980553	9.84235034341381	9.93810932621924	7.03342300153745	7.02236781302845	7.16992500144231
LRP1	11.61194694182	11.8552578271932	11.919980595049	8.2240016741981	8.48381577726426	8.37503943134693
CALB1	12.0738068471785	12.1225044843139	11.8780509127285	8.24317398347295	8.24317398347295	8.59618975614441
TUBAP11	0	0	0	2.32192809488736	2.32192809488736	2.32192809488736
PLXND1	10.2667865406949	10.729620743553	10.6724253419715	6.84549005094437	6.70043971814109	6.8703647195834
HEPACAM2	6.58496250072116	6.53915881110803	6.44294349584873	2.8073549220576	2.8073549220576	2.32192809488736
ACSL6	9.57175264350355	9.58120058192496	9.4262647547021	6.98868468677217	6.88264304936184	6.75488750216347
H2BC18	5.32192809488736	5.24792751344359	5.39231742277876	7.68650052718322	7.83920378809694	7.71424551766612
BTNL10	9.37068740680722	9.37503943134693	9.4655664048094	7.06608919045777	7	6.8703647195834
AQP1	8.4757334309664	8.37068740680722	8.36632221424582	5.85798099512757	5.58496250072116	5.55458885167764
KRT13	10.7797193551434	10.4978518369511	10.5058115539196	6.79441586635011	6.44294349584873	6.12928301694497
RHOB	6.4262647547021	5.85798099512757	5.88264304936184	9.99435343685886	10.0402897210257	9.82177398197057
BCL2L14	0	0	0	2	2	2
ZDHHC11B	10.8384160757973	11.0681064758588	10.72366094441	7.93663793900257	8.12412131182919	8.12928301694497
S1PR4	7.55458885167764	7.59991284218713	7.39231742277876	4.24792751344359	4.08746284125034	3.70043971814109
SLC14A1	10.9083926207737	10.9322147519684	10.6899979714194	7.8703647195834	7.76155123244448	8.11894107272351
TNFRSF19	8.18487534290828	8.2336196767597	8.24317398347295	5.8073549220576	5.95419631038687	6.04439411935845
FAM178B	10.7304701371842	10.9715435539508	11.0512089409148	5.4262647547021	5.52356195605701	4.52356195605701
H4-16	4.4594316186373	4.70043971814109	4.75488750216347	7.25738784269265	7.15987133677839	7.35755200461808
NEFL	2.32192809488736	3.16992500144231	3.16992500144231	7.76818432477693	7.93073733756289	8.09275714091985
H2BC14	4.52356195605701	4.64385618977472	4.75488750216347	6.88264304936184	7.05528243550119	6.90689059560852
MS4A2	7.92481250360578	7.59245703726808	7.78790255939143	3.90689059560852	3.70043971814109	3.16992500144231
CD9	6.22881869049588	6.20945336562895	6.20945336562895	8.2667865406949	8.15987133677839	8.33539035469392
SEC14L3	8.19475685442225	8.39660478118186	8.44708322620965	5	4.64385618977472	5.20945336562895
FCGR2C	6.33985000288462	6.28540221886225	6.39231742277876	3	3.4594316186373	3.4594316186373
ATP2B4	11.6626683755175	11.7760217152528	11.8253563414793	9.467605550083	9.64024493622235	9.64385618977473
LTBP3	10.4512111118323	10.4848228942621	10.3431857154479	8.25266543245025	8.43045255166553	8.3264294871223
LGALS9	8.2667865406949	8.51569983828404	8.45121111183233	5.35755200461808	5.70043971814109	5.24792751344359
MIAT	10.9218409370745	10.6952282914958	10.6865005271832	8.51963625284321	8.34872815423108	8.50382573799575
OR52A5	6.98868468677217	6.85798099512757	6.56985560833095	3.70043971814109	3.70043971814109	4
SPOCK1	6.35755200461808	6.44294349584873	6.20945336562895	8.94544383637791	8.64745842645492	8.76487159073609
ENG	10.1959872980285	10.5430318202552	10.5459297690855	7.79441586635011	7.88264304936184	7.66533591718518
ATP1B4	7.63662462054365	7.69348695749933	7.78135971352466	9.75822321472672	9.77313920671969	9.96578428466209
SPTBN2	10.8872206154684	11.1137421660492	10.8641861446543	8.30833903013941	8.4594316186373	8.61470984411521
BEX1	10.1935253605012	10.0195907283579	9.79441586635011	12.5783726913608	12.5880118532151	12.4444972871038
SLC2A14	8.45121111183233	8.43879185257826	8.46352437327118	6	6.32192809488736	6.24792751344359
ABCC13	9.08214904135387	8.99717948093762	8.96578428466209	6.49185309632967	6.28540221886225	6.70043971814109
RNASE1	8.08746284125034	8.17990909001493	8.04439411935845	5.16992500144231	5.04439411935845	4.58496250072116
LRRN2	8.86108690599539	8.93073733756289	8.73809225962049	6.8703647195834	6.82017896241519	6.93073733756289
MYLK3	5.88264304936184	6	5.7279204545632	3.70043971814109	3.70043971814109	3.8073549220576
ITLN1	10.047123912114	10.0606959316876	9.76818432477693	6.32192809488736	6.90689059560852	6.71424551766612
RYR3-DT	8.17990909001493	8.23840473932508	7.96000193206808	5.95419631038687	6	6.02236781302845
ODAD4	11.8742129348309	11.8536994203002	11.7936033092794	9.39660478118186	9.74483383749955	9.55266909751427
PDE6G	5.12928301694497	4.70043971814109	4.85798099512757	2	1.58496250072116	1.58496250072116
SH3TC2	9.70217268536555	9.90989308377004	10.0416591516372	5.32192809488736	6.08746284125034	6
ARG1	11.9359016822676	11.8575922856975	11.7502882675917	9.91438513215544	9.89330153086056	9.76155123244448
NTS	6.2667865406949	6.02236781302845	5.85798099512757	2.32192809488736	1.58496250072116	1.58496250072116
H2AC15	5.4262647547021	5.52356195605701	5.52356195605701	7.25738784269265	7.37503943134692	7.31288295528436
BCAM	8.54689445988764	8.66533591718518	8.88569637333939	6.28540221886225	5.95419631038687	6.12928301694497
CYP1B1	9.73131903102506	9.89935692292311	9.68999797141945	11.8466656818997	12.1195896207411	12.0275604822488
PAQR9	11.0947375050481	11.0566377151132	10.9425145053392	9.1006623390052	9.22158712126481	9.1006623390052
MATK	4.95419631038687	5.04439411935845	4.8073549220576	2.8073549220576	2.58496250072116	2.8073549220576
RLN3	4.90689059560852	4.90689059560852	4.24792751344359	9.01959072835788	8.49585502688717	8.83289001416474
ABCA1	7.03342300153745	7	6.79441586635011	4.16992500144231	4.52356195605701	4.08746284125034
BEST3	8.22881869049588	8.23840473932508	7.94251450533924	5.88264304936184	5.90689059560852	6.02236781302845
SIGLEC6	10.0223678130285	9.79928162152192	9.56033283421244	6.8073549220576	6.76818432477693	6.35755200461808
LINC01133	9.54109661534952	9.96289600533726	9.79441586635011	7.02236781302845	7.09803208296053	7.31288295528436
