id	C1	C2	C3	C4	J1	J2	J3	J4
LINC02532	0	1	0	0	0	0	1.58496250072116	0
PRPS1L1	0	0	1.58496250072116	0	0	1	0	0
TMBIM7P	1	0	0	0	0	0	1.58496250072116	0
LINC02577	0	0	0	1	0	1.58496250072116	0	0
GIMAP7	0	1.58496250072116	0	0	0	0	1	0
SLC26A5	0	1	0	0	0	1.58496250072116	0	0
OR10AC1	1.58496250072116	0	0	0	0	0	0	1
SNORA22C	0	0	0	1	1.58496250072116	0	0	0
WDR86-AS1	0	1	0	0	0	1.58496250072116	0	0
RAI2	0	1	0	0	0	1.58496250072116	0	0
NLRP2B	0	0	0	1	1.58496250072116	0	0	0
TCEAL7	0	1.58496250072116	0	0	0	0	0	1
RBBP8P1	0	0	0	1.58496250072116	1	0	0	0
ZFYVE9P1	1.58496250072116	0	0	0	0	0	0	1
SPANXA2-OT1	1	0	0	0	0	1.58496250072116	0	0
DDX11L16	0	0	0	1	1.58496250072116	0	0	0
FOXN3P1	0	0	0	1.58496250072116	0	0	1	0
ARMCX7P	0	1.58496250072116	0	0	0	0	1	0
SLC18A1	0	1.58496250072116	0	0	0	0	1	0
ADAM5	0	1.58496250072116	0	0	1	0	0	0
UQCRB-AS1	0	0	0	1.58496250072116	0	0	0	1
SDCBPP2	0	0	1.58496250072116	0	1	0	0	0
KCNB2	0	1	0	0	0	1.58496250072116	0	0
RPSAP74	0	1.58496250072116	0	0	0	1	0	0
SAMD12-AS1	0	0	0	1	0	0	1.58496250072116	0
RN7SL396P	0	1	0	0	0	0	0	1.58496250072116
MIR661	0	0	1	0	0	1.58496250072116	0	0
MTATP6P11	0	1.58496250072116	0	0	1	0	0	0
LINC01189	0	0	0	1.58496250072116	0	0	0	1
H3P31	0	0	0	1	1.58496250072116	0	0	0
GXYLT1P3	0	0	0	1.58496250072116	0	1	0	0
RPSAP76	0	0	1.58496250072116	0	0	0	0	1
MIR4668	0	0	1.58496250072116	0	0	1	0	0
LINC00678	0	0	0	1.58496250072116	0	1	0	0
LINC02742	1	0	0	0	0	1.58496250072116	0	0
MIR5582	0	0	1	0	0	0	0	1.58496250072116
HBE1	0	0	0	1.58496250072116	0	0	0	1
OR8F1P	0	1.58496250072116	0	0	0	0	1	0
TSGA10IP	0	0	1	0	0	1.58496250072116	0	0
TMEM151A	0	1.58496250072116	0	0	0	0	0	1
MIR130A	0	0	0	1	0	1.58496250072116	0	0
RN7SKP239	0	0	0	1.58496250072116	1	0	0	0
SLC15A3	0	0	0	1	0	1.58496250072116	0	0
CCDC89	1	0	0	0	0	1.58496250072116	0	0
PGA3	1.58496250072116	0	0	0	0	1	0	0
FTLP6	0	0	1	0	0	1.58496250072116	0	0
C11orf91	0	0	0	1.58496250072116	1	0	0	0
AKR1C8P	0	1.58496250072116	0	0	0	0	1	0
PRKG1-AS1	1	0	0	0	0	1.58496250072116	0	0
GAPDHP45	0	1.58496250072116	0	0	0	0	1	0
MIR146B	0	0	1.58496250072116	0	1	0	0	0
RPS26P41	0	0	1.58496250072116	0	0	1	0	0
NPFFR1	0	0	1	0	0	1.58496250072116	0	0
RNU6-780P	0	0	0	1	0	0	1.58496250072116	0
ANTXRL	0	0	1	0	0	0	1.58496250072116	0
ZNF32-AS3	0	0	0	1.58496250072116	1	0	0	0
MIR3157	0	0	0	1	1.58496250072116	0	0	0
PRF1	0	0	1	0	0	1.58496250072116	0	0
KCNA6	0	0	1	0	0	1.58496250072116	0	0
TAS2R10	0	0	1.58496250072116	0	1	0	0	0
MRS2P2	0	0	1.58496250072116	0	0	0	0	1
LGR5	0	1	0	0	0	1.58496250072116	0	0
CLIP1-AS1	0	0	0	1.58496250072116	1	0	0	0
SLC9A7P1	0	0	1	0	0	1.58496250072116	0	0
MIR6505	1	0	0	0	1.58496250072116	0	0	0
REP15	0	0	1	0	0	1.58496250072116	0	0
MIR5188	0	0	1.58496250072116	0	0	0	0	1
FZD10-AS1	0	0	0	1.58496250072116	0	1	0	0
RPL21P110	0	1.58496250072116	0	0	0	0	0	1
MTND5P2	1.58496250072116	0	0	0	0	0	0	1
CCDC70	0	0	1	0	0	1.58496250072116	0	0
PRPF39-DT	0	0	1	0	0	0	1.58496250072116	0
LINC02290	1	0	0	0	0	0	1.58496250072116	0
PRIMA1	1.58496250072116	0	0	0	0	1	0	0
ASPG	0	0	1	0	0	0	1.58496250072116	0
SLC39A2	0	0	1	0	0	0	0	1.58496250072116
SF3B4P1	0	1.58496250072116	0	0	1	0	0	0
INSM2	0	0	0	1	0	1.58496250072116	0	0
OR4E1	0	1	0	0	0	1.58496250072116	0	0
RNASE3	1	0	0	0	0	0	1.58496250072116	0
RPL9P3	1.58496250072116	0	0	0	1	0	0	0
GCOM1	0	0	1	0	0	1.58496250072116	0	0
EWSAT1	0	0	0	1	1.58496250072116	0	0	0
RNU6-19P	0	1	0	0	0	0	1.58496250072116	0
TRPM1	1	0	0	0	0	0	0	1.58496250072116
GOLGA8F	1	0	0	0	0	1.58496250072116	0	0
LINC02345	0	1.58496250072116	0	0	0	0	1	0
